method,checkpoint,raw_group_dir,relaxed_group_dir,relax_steps,group,guidance_factor,target,n_structures,n_readable,n_struct_valid,n_predicted,mean_predicted_dielectric_scalar,median_predicted_dielectric_scalar,std_predicted_dielectric_scalar,mae,rmse,frac_within_1,frac_within_2,composition_valid_fraction,structure_valid_fraction,structure_comp_valid_fraction,metal_like_proxy_fraction,min_distance_median,volume_per_atom_median
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,50,fixed_film__uncond,0,uncond,128,128,128,128,7.062733224868063,5.042191223943026,4.763823418981821,,,,,0.7421875,1.0,0.7421875,0.1171875,2.070872742890099,18.180385065458665
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__g1__t2,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__g1__t2,50,fixed_film__g1__t2,1,2,128,128,127,127,2.71128338387099,2.380190016998732,1.3593608888776372,0.7602953975431614,1.5294561071461312,0.8110236220472441,0.9212598425196852,0.6015625,0.9921875,0.6015625,0.0,1.7350163326886046,16.655155282000003
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__g1__t4,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__g1__t4,50,fixed_film__g1__t4,1,4,128,128,126,126,4.446625572290506,3.683052901782157,2.5299837682880413,1.631964576388514,2.559197555449136,0.4523809523809524,0.7936507936507936,0.75,0.984375,0.734375,0.0,1.7498944138437431,14.961471628690465
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__g1__t8,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__g1__t8,50,fixed_film__g1__t8,1,8,128,128,127,127,7.552118493463537,6.51374397540706,4.158729367340213,3.373182518906582,4.166466903322309,0.1811023622047244,0.3070866141732283,0.703125,0.9921875,0.703125,0.0625,2.0614651124621477,20.9774270347524
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__g1__t12,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__g1__t12,50,fixed_film__g1__t12,1,12,128,128,128,128,9.428682798565651,8.573235240028318,4.400223611597435,4.4075645649657655,5.081572060766608,0.1171875,0.2265625,0.8203125,1.0,0.8203125,0.078125,2.215488956678896,23.003721509942554
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__g2__t2,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__g2__t2,50,fixed_film__g2__t2,2,2,128,128,125,125,2.305641600077972,2.1621951498551617,0.5796017530219485,0.4191783581199587,0.6531978829324918,0.888,0.968,0.5078125,0.9765625,0.5,0.0,1.590559360818037,18.729600873323413
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__g2__t4,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__g2__t4,50,fixed_film__g2__t4,2,4,128,128,124,124,3.7822005565744985,3.290906115529139,1.7872905521145834,1.1903918996362437,1.7933440172720607,0.4919354838709677,0.9274193548387096,0.765625,0.96875,0.7421875,0.0,1.5917963693131698,14.072760988910067
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__g2__t8,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__g2__t8,50,fixed_film__g2__t8,2,8,128,128,124,124,8.044206290780469,7.180116388959077,3.4609808594664715,2.882965140199634,3.4472804931427348,0.1854838709677419,0.3951612903225806,0.7421875,0.96875,0.71875,0.0546875,2.194278106188465,25.2278007764091
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__g2__t12,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__g2__t12,50,fixed_film__g2__t12,2,12,128,128,126,126,13.147311811294326,13.16339866333812,3.779433147140801,3.0971796373993232,3.935361903899496,0.1825396825396825,0.4444444444444444,0.71875,0.984375,0.7109375,0.0703125,2.3720451273858973,27.262925290981343
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__g3__t2,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__g3__t2,50,fixed_film__g3__t2,3,2,128,128,108,108,2.149021042214884,2.0242307180330927,0.601603025984593,0.4470704371172417,0.6170756058782584,0.8981481481481481,0.9907407407407408,0.453125,0.84375,0.3984375,0.0,1.4839914694735146,21.96572145614333
