method,group,guidance_factor,target,raw_group_dir,mattergen_group_dir,relaxed_group_dir,skipped_fraction,anisonet_unpredicted_cifs,elapsed_seconds,returncode,total_input_cifs,successful_input_cifs,skipped_input_cifs,skipped_high_order_cifs,skipped_unsupported_terminal_cifs,avg_relax_seconds_per_input,avg_relax_seconds_per_success,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,avg_comp_validity,avg_comp_validity_timeout_rate,avg_comp_validity_error_rate,avg_structure_comp_validity,avg_structure_comp_validity_timeout_rate,avg_structure_comp_validity_error_rate,smact_timeout_seconds,smact_checked_samples,n_structures,n_readable,n_struct_valid,n_predicted,mean_predicted_dielectric_scalar,median_predicted_dielectric_scalar,std_predicted_dielectric_scalar,mae,rmse,frac_within_1,frac_within_2,composition_valid_fraction,structure_valid_fraction,structure_comp_valid_fraction,metal_like_proxy_fraction,min_distance_median,volume_per_atom_median,un_rate,thermo_checked,thermo_success,thermo_failed,thermo_success_rate,thermo_stable_rate,thermo_metastable_rate,thermo_e_above_hull_mean,SUN,MSUN
fixed_film_raw_mattersim,fixed_film__g1__t12,1,12,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g1__t12/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g1__t12,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g1__t12/successful_relaxed_cifs,0.046875,0,2241.802551,0,128,122,6,1,5,17.513515,18.374835,0.3046340087922078,0.991416994180778,0.0245901639344262,0.081967213114754,1.0,1.0,0.9344262295081968,0.6311475409836066,0.9344262295081968,1.0,1.0,0.0655737704918032,9.456298308386437e-06,0.8677685950413223,0.0081967213114754,0.0,0.8677685950413223,0.0081967213114754,0.0,2.0,121.0,122,122,122,122,9.2838458783942,8.113018375387977,4.584459244473048,4.579732753297844,5.31248407995681,0.1393442622950819,0.2377049180327868,0.8114754098360656,1.0,0.8114754098360656,0.081967213114754,2.252343766927529,23.93442631042299,0.9918032786885246,122.0,0.0,122.0,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g1__t2,1,2,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g1__t2/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g1__t2,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g1__t2/successful_relaxed_cifs,0.046875,0,1846.028983,0,128,122,6,0,6,14.421511,15.130765,0.1947264423896249,0.9158693038345312,0.2459016393442623,0.319672131147541,1.0,1.0,0.9016393442622952,0.1721311475409836,0.9016393442622952,1.0,0.860655737704918,0.0983606557377049,1.773055932822457e-05,0.5819672131147541,0.0,0.0,0.5819672131147541,0.0,0.0,2.0,122.0,122,122,122,122,2.5517508703875422,2.275100838036087,1.3567472056305785,0.6867523284464461,1.4594875065626165,0.8442622950819673,0.9344262295081968,0.5819672131147541,1.0,0.5819672131147541,0.0,1.700007316999006,18.41681071842494,0.9672131147540984,122.0,0.0,122.0,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g1__t4,1,4,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g1__t4/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g1__t4,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g1__t4/successful_relaxed_cifs,0.0078125,0,2212.355465,0,128,127,1,0,1,17.28351,17.4196,0.3035862952537398,0.8421078390167616,0.1102362204724409,0.1889763779527559,1.0,1.0,0.905511811023622,0.2283464566929134,0.905511811023622,1.0,0.9763779527559056,0.0944881889763779,2.2458708482417787e-05,0.7401574803149606,0.0,0.0,0.7401574803149606,0.0,0.0,2.0,127.0,127,127,127,127,4.272296832583232,3.533312145270441,2.544034408507851,1.686540382812709,2.548586889279116,0.4251968503937008,0.7795275590551181,0.7480314960629921,1.0,0.7480314960629921,0.0,1.6510226318497665,16.106113383848047,0.9763779527559056,127.0,0.0,127.0,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g1__t8,1,8,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g1__t8/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g1__t8,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g1__t8/successful_relaxed_cifs,0.0,0,2016.328897,0,128,128,0,0,0,15.752105,15.752105,0.2901842577928951,0.8212188691535917,0.0625,0.15625,1.0,1.0,0.875,0.296875,0.875,1.0,1.0,0.125,2.4822783059514397e-05,0.8203125,0.0,0.0,0.8203125,0.0,0.0,2.0,128.0,128,128,128,128,7.334916800282011,6.044725190146819,4.312050067090516,3.463661113635228,4.346360266976569,0.1875,0.28125,0.703125,1.0,0.703125,0.0625,2.0628138816465977,22.146953187602712,0.984375,128.0,0.0,128.0,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g2__t12,2,12,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g2__t12/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g2__t12,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g2__t12/successful_relaxed_cifs,0.375,0,1214.750563,0,128,80,48,27,21,9.488469,15.181551,0.3587951580037203,1.311585334849555,0.0,0.025,1.0,1.0,0.9625,0.7875,0.9625,1.0,1.0,0.0375,3.546111865644913e-06,0.8356164383561644,0.0875,0.0,0.8356164383561644,0.0875,0.0,2.0,73.0,80,80,80,80,13.356608140136018,13.052873787668084,4.516324968640088,3.655667621595831,4.6885618240528375,0.175,0.325,0.75,1.0,0.75,0.075,2.395686000171148,28.37909814145281,1.0,80.0,0.0,80.0,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g2__t2,2,2,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g2__t2/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g2__t2,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g2__t2/successful_relaxed_cifs,0.0078125,0,1993.737916,0,128,127,1,0,1,15.575563,15.698205,0.1609402322208398,1.0579429763183863,0.2519685039370078,0.3149606299212598,1.0,1.0,0.9291338582677166,0.1496062992125984,0.9291338582677166,1.0,0.7637795275590551,0.0708661417322834,1.1820372885483044e-05,0.4881889763779528,0.0,0.0,0.4881889763779528,0.0,0.0,2.0,127.0,127,127,127,127,2.157978463493176,2.0325557749772654,0.6294410455746979,0.3905470059998259,0.6465551569691903,0.9212598425196852,0.984251968503937,0.5039370078740157,1.0,0.5039370078740157,0.0,1.5806189204406582,20.74739016624829,0.9606299212598424,127.0,0.0,127.0,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g2__t4,2,4,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g2__t4/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g2__t4,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g2__t4/successful_relaxed_cifs,0.0,0,2627.41632,0,128,128,0,0,0,20.526267,20.526267,0.4056377607232776,0.9260498264890524,0.1015625,0.140625,1.0,1.0,0.9375,0.28125,0.9375,1.0,0.9375,0.0625,1.300241017403135e-05,0.7265625,0.0,0.0,0.7265625,0.0,0.0,2.0,128.0,128,128,128,128,3.482398079290558,2.908389849044867,1.9689989603012263,1.4878393776582988,2.028442734750944,0.328125,0.8359375,0.765625,1.0,0.765625,0.0,1.5293769660800027,16.43952197115032,0.9765625,128.0,0.0,128.0,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g2__t8,2,8,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g2__t8/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g2__t8,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g2__t8/successful_relaxed_cifs,0.0078125,0,2285.268941,0,128,127,1,0,1,17.853244,17.993821,0.2987472143527128,1.0395385009155234,0.0708661417322834,0.1023622047244094,1.0,1.0,0.952755905511811,0.4960629921259842,0.952755905511811,1.0,0.9763779527559056,0.0472440944881889,1.1820372885483044e-05,0.8188976377952756,0.0,0.0,0.8188976377952756,0.0,0.0,2.0,127.0,127,127,127,127,7.71952950388019,7.1551116179773055,3.723264985819161,3.096940771562417,3.7191680143205215,0.1811023622047244,0.3543307086614173,0.7480314960629921,1.0,0.7480314960629921,0.0551181102362204,2.222276101447756,25.15694885447479,0.984251968503937,127.0,0.0,127.0,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g3__t12,3,12,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g3__t12/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g3__t12,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g3__t12/successful_relaxed_cifs,0.953125,0,31.450433,0,128,6,122,35,87,0.242848,5.180761,0.251069504464523,1.600680819418991,0.5,0.5,1.0,1.0,1.0,0.1666666666666666,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,6,6,6,6,13.828561843300852,13.528729296388896,6.775296073480343,5.792837477585096,6.449612584040037,0.0,0.0,1.0,1.0,1.0,0.5,2.761952684118874,25.531120845681823,1.0,6.0,0.0,6.0,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g3__t2,3,2,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g3__t2/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g3__t2,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g3__t2/successful_relaxed_cifs,0.0234375,0,2344.184295,0,128,125,3,0,2,18.313434,18.752956,0.2104973251168136,1.4555300082950318,0.28,0.304,1.0,1.0,0.968,0.136,0.968,1.0,0.68,0.032,7.092223731289827e-06,0.376,0.0,0.0,0.376,0.0,0.0,2.0,125.0,125,125,125,125,1.8867075889202845,1.8590522685458013,0.4986420480147779,0.4032382395777483,0.5094015226913249,0.96,1.0,0.448,1.0,0.448,0.0,1.542975434334338,25.727803312092792,0.976,125.0,0.0,125.0,0.0,,,,,
