group,guidance_factor,target,sample_id,cif_path,readable,composition_valid,structure_valid,structure_comp_valid,min_distance,volume,volume_per_atom,num_atoms,metal_like_proxy,unique,novel,energy_above_hull_per_atom,stable,metastable,thermo_success,thermo_fail_reason,predicted_dft_dielectric_scalar,prediction_success,prediction_error
fixed_film__g1__t12,1,12,0,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00000.cif,True,True,True,True,3.0686832929703103,141.01424160155295,35.25356040038824,4,True,True,True,,,,False,,14.592474750838065,True,
fixed_film__g1__t12,1,12,1,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00001.cif,True,True,True,True,2.0629839530319347,503.5512325289936,25.17756162644968,20,False,True,True,,,,False,,5.944068571113107,True,
fixed_film__g1__t12,1,12,3,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00003.cif,True,True,True,True,2.2481151644080914,242.308597132044,30.28857464150549,8,False,True,True,,,,False,,6.987871498890307,True,
fixed_film__g1__t12,1,12,4,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00004.cif,True,True,True,True,3.5782345984432418,65.54606560066247,32.77303280033124,2,True,True,True,,,,False,,12.22160454177172,True,
fixed_film__g1__t12,1,12,5,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00005.cif,True,False,True,False,2.397723946182208,351.2594402251107,21.95371501406942,16,False,True,True,,,,False,,17.4655720939078,True,
fixed_film__g1__t12,1,12,6,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00006.cif,True,True,True,True,1.7499729682952887,128.4659125064359,16.058239063304487,8,False,True,True,,,,False,,2.004095396526209,True,
fixed_film__g1__t12,1,12,7,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00007.cif,True,True,True,True,2.079195757661761,438.9993312765403,31.357095091181453,14,False,True,True,,,,False,,12.0973516196543,True,
fixed_film__g1__t12,1,12,8,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00008.cif,True,True,True,True,1.62623039142744,188.8280866936449,15.735673891137075,12,False,True,True,,,,False,,4.274884897529684,True,
fixed_film__g1__t12,1,12,9,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00009.cif,True,True,True,True,2.620621853467737,225.2160042561296,28.1520005320162,8,False,True,True,,,,False,,12.51054729348967,True,
fixed_film__g1__t12,1,12,10,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00010.cif,True,False,True,False,2.6396271757039216,320.0349560305441,26.669579669212013,12,False,True,True,,,,False,,15.434464750851197,True,
fixed_film__g1__t12,1,12,11,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00011.cif,True,True,True,True,1.3174977875399057,229.6311440546579,12.757285780814328,18,False,True,True,,,,False,,5.600240757997757,True,
fixed_film__g1__t12,1,12,12,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00012.cif,True,True,True,True,2.4466756633062934,321.5205620497874,32.152056204978734,10,False,True,True,,,,False,,8.345628316907906,True,
fixed_film__g1__t12,1,12,14,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00014.cif,True,True,True,True,2.23122878552753,289.2142563590028,24.101188029916894,12,False,True,True,,,,False,,14.176772246549405,True,
fixed_film__g1__t12,1,12,15,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00015.cif,True,False,True,False,3.083798403682616,94.94512445707616,31.64837481902538,3,False,True,True,,,,False,,20.4266510947281,True,
fixed_film__g1__t12,1,12,16,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00016.cif,True,True,True,True,1.3700699295512857,243.55840492072332,13.531022495595742,18,False,True,True,,,,False,,7.316023096460744,True,
fixed_film__g1__t12,1,12,17,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00017.cif,True,True,True,True,2.087591615530106,183.9152818827596,22.989410235344952,8,False,True,True,,,,False,,8.026506827751769,True,
fixed_film__g1__t12,1,12,18,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00018.cif,True,True,True,True,2.972982219776911,53.14375328277831,26.571876641389157,2,False,True,False,,,,False,,5.589636429769894,True,
fixed_film__g1__t12,1,12,19,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8_view/fixed_film__g1__t12/cifs/sample_00019.cif,True,True,True,True,2.47168608299479,377.8895791495685,37.78895791495685,10,False,True,True,,,,False,,9.806323739251418,True,
