group,method,guidance_factor,target,raw_group_dir,relaxed_group_dir,checkpoint,relax_steps,limit_cifs,num_raw_cifs,num_relax_failures,num_relaxed_cifs,total_relax_seconds
residual_delta__uncond,residual_delta,0,uncond,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g0p0_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__uncond,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g1__t2,residual_delta,1,2,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g1p0_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g1__t2,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g1__t4,residual_delta,1,4,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g1p0_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g1__t4,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g1__t8,residual_delta,1,8,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g1p0_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g1__t8,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g1__t12,residual_delta,1,12,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g1p0_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g1__t12,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g2__t2,residual_delta,2,2,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g2p0_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g2__t2,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g2__t4,residual_delta,2,4,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g2p0_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g2__t4,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g2__t8,residual_delta,2,8,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g2p0_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g2__t8,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g2__t12,residual_delta,2,12,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g2p0_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g2__t12,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g3__t2,residual_delta,3,2,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g3p0_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g3__t2,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g3__t4,residual_delta,3,4,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g3p0_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g3__t4,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g3__t8,residual_delta,3,8,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g3p0_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g3__t8,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g3__t12,residual_delta,3,12,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g3p0_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g3__t12,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g4__t2,residual_delta,4,2,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g4p0_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g4__t2,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g4__t4,residual_delta,4,4,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g4p0_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g4__t4,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g4__t8,residual_delta,4,8,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g4p0_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g4__t8,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g4__t12,residual_delta,4,12,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g4p0_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g4__t12,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,0.0
residual_delta__g5__t2,residual_delta,5,2,provenance://crystalite/outputs/final report output/raw_groups/residual_delta__g5__t2,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g5__t2,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,398.535878
residual_delta__g5__t4,residual_delta,5,4,provenance://crystalite/outputs/final report output/raw_groups/residual_delta__g5__t4,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g5__t4,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,411.477532
residual_delta__g5__t8,residual_delta,5,8,provenance://crystalite/outputs/final report output/raw_groups/residual_delta__g5__t8,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g5__t8,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,412.051536
residual_delta__g5__t12,residual_delta,5,12,provenance://crystalite/outputs/final report output/raw_groups/residual_delta__g5__t12,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g5__t12,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,50,128,128,0,128,401.659521
additive_plus_film__uncond,additive_plus_film,0,uncond,provenance://crystalite/outputs/dielectric_cfg_film_g0_uncond_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__uncond,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
