guidance_factor,condition,subset,family_type,rank,family_label,count,fraction,representative_formula,representative_space_group,mean_predicted_dielectric_scalar,mean_energy_above_hull_per_atom,stable_fraction_within_family,sun_fraction_within_family
0,2,all_relaxed,chemical_system,1,Br,2,0.015625,Br,P-1,4.816690873473602,0.12736560497033705,0.5,0.5
0,2,all_relaxed,chemical_system,2,H-Na-O,2,0.015625,NaHO,Amm2,2.4286773459354265,0.0640042404291061,1.0,1.0
0,2,all_relaxed,chemical_system,3,Cs-Mn-Se,1,0.0078125,Cs(MnSe)2,I4/mmm,5.700613351364637,0.1671779541975269,0.0,0.0
0,2,all_relaxed,chemical_system,4,Er-F-Ho,1,0.0078125,HoErF6,Fm-3m,2.0903748692318342,0.0655361805305174,1.0,0.0
0,2,all_relaxed,chemical_system,5,Ca-Mo-O-Zn,1,0.0078125,Ca2ZnMoO6,R3,5.090141237508804,0.1383628998879906,0.0,0.0
0,2,all_relaxed,chemical_system,6,B-O-Si-Sr,1,0.0078125,SrSi5BO12,P1,2.44645005722677,0.1821570854822631,0.0,0.0
0,2,all_relaxed,chemical_system,7,Hf-Li-S,1,0.0078125,Li2HfS3,C2/c,6.617602722851404,0.0215818528823721,1.0,0.0
0,2,all_relaxed,chemical_system,8,As-Pt,1,0.0078125,As2Pt,Pnnm,23.07402181450618,0.0638141533831966,1.0,0.0
0,2,all_relaxed,chemical_system,9,Ca-In-P,1,0.0078125,Ca2InP2,Pmn2_1,10.094212934682988,0.1046335889993503,0.0,0.0
0,2,all_relaxed,chemical_system,10,Ca-Cl,1,0.0078125,CaCl2,P-3m1,2.283644483751084,0.0528020350146256,1.0,0.0
0,2,all_relaxed,reduced_formula,1,Br,2,0.015625,Br,P-1,4.816690873473602,0.12736560497033705,0.5,0.5
0,2,all_relaxed,reduced_formula,2,NaHO,2,0.015625,NaHO,Amm2,2.4286773459354265,0.0640042404291061,1.0,1.0
0,2,all_relaxed,reduced_formula,3,Cs(MnSe)2,1,0.0078125,Cs(MnSe)2,I4/mmm,5.700613351364637,0.1671779541975269,0.0,0.0
0,2,all_relaxed,reduced_formula,4,HoErF6,1,0.0078125,HoErF6,Fm-3m,2.0903748692318342,0.0655361805305174,1.0,0.0
