guidance_factor,condition,target_value,structure_index,local_structure_index,global_structure_index,formula,chemical_system,predicted_dielectric_scalar,signed_error_to_target,abs_error_to_target,squared_error_to_target,within_1,within_2,energy_above_hull_per_atom,energy_above_hull,self_consistent_energy_above_hull,stable,rmsd_from_relaxation,is_unique,is_novel,is_explored,composition_valid,structure_valid,structure_comp_valid,novel_unique_stable,num_sites,volume,predicted_tensor
0,2,2,0,0,0,CsMn2Se2,Cs-Mn-Se,5.700613351364637,3.7006133513646366,3.7006133513646366,13.694539176298209,False,False,0.1671779541975269,0.1671779541975269,0.0357458858727675,False,0.0020536413504971,True,True,True,False,True,False,False,5,137.90248951696128,"[[6.216513022506032, -0.14558460067516638, -0.47247692120363455], [-0.14558460067516638, 6.187666376342325, -0.50932328723994], [-0.47247692120363455, -0.50932328723994, 4.697660655245551]]"
0,2,2,1,1,1,ErF6Ho,Er-F-Ho,2.0903748692318342,0.0903748692318342,0.0903748692318342,0.0081676169886711,True,True,0.0655361805305174,0.0655361805305174,0.0655361805305174,True,0.0012124942267752,True,False,True,True,True,True,False,8,163.00558252207463,"[[2.0901739335277707, 0.00010647953409901088, 9.20813743042656e-05], [0.00010647953409901088, 2.0903022476742685, 5.114464897473772e-05], [9.20813743042656e-05, 5.114464897473772e-05, 2.0906484264934653]]"
0,2,2,2,2,2,Ca2MoO6Zn,Ca-Mo-O-Zn,5.090141237508804,3.090141237508804,3.090141237508804,9.54897286775244,False,False,0.1383628998879906,0.1383628998879906,0.1383628998879906,False,0.0015493928113614,True,False,True,True,True,True,False,10,123.93827778655822,"[[5.116726154798649, -0.037002607955744705, 0.09111381486675385], [-0.037002607955744705, 5.144408481315135, 0.06444185246584183], [0.09111381486675385, 0.06444185246584183, 5.009289076412625]]"
0,2,2,3,3,3,BO12Si5Sr,B-O-Si-Sr,2.44645005722677,0.44645005722677,0.44645005722677,0.1993176535977862,True,True,0.1821570854822631,0.1821570854822631,0.1785153479591947,False,1.3615128144512561e-15,True,True,True,True,True,True,False,19,278.76161858372063,"[[2.659204748348114, 0.05547941283144247, 0.025300207668920823], [0.05547941283144247, 2.207113316366081, 0.06913290930433405], [0.025300207668920823, 0.06913290930433405, 2.473032106966114]]"
0,2,2,4,4,4,Hf2Li4S6,Hf-Li-S,6.617602722851404,4.617602722851404,4.617602722851404,21.3222549060847,False,False,0.0215818528823721,0.0215818528823721,0.0,True,0.0018329707392075,True,False,True,True,True,True,False,12,216.98731608158,"[[6.5346053572358915, 0.00017854588084331133, 0.00039118852287570876], [0.00017854588084331133, 5.975096410097453, -0.0019156661291677333], [0.00039118852287570876, -0.0019156661291677333, 7.343106401220865]]"
0,2,2,5,5,5,As4Pt2,As-Pt,23.07402181450618,21.07402181450618,21.07402181450618,444.1143954382824,False,False,0.0638141533831966,0.0638141533831966,0.0,True,0.0007388462376451,True,False,True,False,True,False,False,6,115.03433097319784,"[[23.806981752219276, -0.0027569376382966158, -0.0004947485631628213], [-0.0027569376382966158, 21.08935932065554, 0.0006029358196679728], [-0.0004947485631628213, 0.0006029358196679728, 24.32572437064373]]"
0,2,2,6,6,6,Ca4In2P4,Ca-In-P,10.094212934682988,8.094212934682988,8.094212934682988,65.51628303198939,False,False,0.1046335889993503,0.1046335889993503,0.0838749042993507,False,9.999339377479736e-05,True,True,True,True,True,True,False,10,243.8371748231528,"[[10.272926978542966, -0.00024069743460434844, -0.00018569146472436715], [-0.00024069743460434844, 9.538012147766366, -0.010724301802415138], [-0.00018569146472436715, -0.010724301802415138, 10.471699677739636]]"
0,2,2,7,7,7,CaCl2,Ca-Cl,2.283644483751084,0.2836444837510838,0.2836444837510838,0.0804541931624188,True,True,0.0528020350146256,0.0528020350146256,0.0,True,0.0005627207922846,True,False,True,True,True,True,False,3,100.66407008493668,"[[2.550706201028051, 7.171234608234194e-05, -0.00018572644281917758], [7.171234608234194e-05, 2.550826496083771, 1.8967429271202886e-06], [-0.00018572644281917758, 1.8967429271202886e-06, 1.7494007541414287]]"
0,2,2,8,8,8,C4,C,5.555459915795265,3.5554599157952653,3.5554599157952653,12.641295212826876,False,False,0.1367999719522057,0.1367999719522057,0.1299578704833983,False,0.000249779500737,True,False,True,True,True,True,False,4,22.767310581291543,"[[5.555850015962558, -6.270248121427124e-05, 0.0005196289540607738], [-6.270248121427124e-05, 5.554966594010628, -0.0012560255728339548], [0.0005196289540607738, -0.0012560255728339548, 5.555563137412606]]"
0,2,2,9,9,9,Br4F2O2,Br-F-O,2.51280933548789,0.5128093354878902,0.5128093354878902,0.2629734145635315,True,True,0.2066087503921072,0.2066087503921072,0.2066087503921072,False,1.0629878166620685e-15,True,True,True,True,True,True,False,8,275.8847824102132,"[[1.3739805143916695, -0.7701338391970556, 0.056887679943798494], [-0.7701338391970556, 2.6294150953711566, 0.2798234093326606], [0.056887679943798494, 0.2798234093326606, 3.5350323967008466]]"
0,2,2,10,10,10,AsCa4I2P,As-Ca-I-P,5.829856235107267,3.8298562351072674,3.8298562351072674,14.667798781590012,False,False,0.0060013723971481,0.0060013723971481,0.0060013723971481,True,0.0020504347520174,True,False,True,True,True,True,False,8,246.77706628240136,"[[5.898994258084096, 0.00016302022471046166, 0.0003708467493593131], [0.00016302022471046166, 5.874159601983297, -0.04433471346948712], [0.0003708467493593131, -0.04433471346948712, 5.7164148452544055]]"
0,2,2,11,11,11,HClI2,Cl-H-I,3.577742947087624,1.577742947087624,1.577742947087624,2.4892728070847414,False,True,0.1374360795022142,0.1374360795022142,0.1374360795022142,False,5.013463351717416e-16,True,True,True,False,True,False,False,4,165.9110355120676,"[[2.8987234649699385, 0.7570576380411159, 1.033436770564744], [0.7570576380411159, 3.558553984191099, 1.4884741593668251], [1.033436770564744, 1.4884741593668251, 4.275951392101833]]"
