guidance_factor,condition,count,mean_predicted_dielectric_scalar,median_predicted_dielectric_scalar,mae_to_target,rmse_to_target,frac_within_1,frac_within_2,mean_energy_above_hull_per_atom,median_energy_above_hull_per_atom,q25_energy_above_hull_per_atom,q75_energy_above_hull_per_atom,frac_stable,mean_rmsd_from_relaxation,median_rmsd_from_relaxation,frac_unique,frac_novel,frac_novel_unique_stable
0,2,128,5.302403560724194,4.533562057616093,3.3164796011923032,4.637883256410734,0.2890625,0.3984375,0.1516795746553351,0.1244826222044492,0.0608360484645119,0.2024517482949374,0.4296875,0.001038126507469,0.0007444652449141,1.0,0.7265625,0.21875
0,4,128,5.741565864317519,4.392432660912556,2.5209800036135026,4.093198007332093,0.4140625,0.6328125,0.1532644831521099,0.121054975609022,0.0680436113748856,0.1986407517819387,0.3984375,0.0011012723818046,0.0009519797917247,1.0,0.7265625,0.1875
0,8,128,5.582813716244765,4.687568569501023,3.723730259985905,4.268503754124495,0.09375,0.2265625,0.1568666656640369,0.1284402023412889,0.0794157637876568,0.2071159905948015,0.359375,0.0010549055314913,0.0008653604651384,0.984375,0.7421875,0.15625
0,12,128,5.447815538553286,4.563480743704753,6.878909244468767,7.345217099409379,0.0078125,0.0703125,0.1986359894271391,0.1301888749053035,0.0594315617399245,0.2098541168842309,0.359375,0.0010277016879722,0.0008183811930366,1.0,0.75,0.1796875
1,2,128,3.4993856607041165,2.893529892668472,1.5880907009621392,2.6665741941237133,0.5,0.7734375,0.1602000472349773,0.1160324367118477,0.045888135870594,0.1890530702131923,0.4453125,0.0010681785744135,0.0007833142180068,1.0,0.75,0.265625
1,4,128,4.972335646898872,4.161642642893651,1.9488765883712984,3.185077268889059,0.390625,0.734375,0.2013231537344775,0.1316512741242455,0.0834968043442651,0.2139174619667823,0.34375,0.0009069785246304,0.0006766410613206,1.0,0.7578125,0.1875
1,8,128,8.924684939494501,8.363433757430272,3.653232930556903,4.5284551209130015,0.140625,0.25,0.1857997960115219,0.157088031658565,0.0790473284748336,0.2225415834385338,0.3125,0.001252811375661,0.0011758330426142,1.0,0.7578125,0.1484375
1,12,128,8.78485369984844,8.024088944660372,4.884185185892443,5.727072845496409,0.078125,0.1875,0.1607744370420241,0.1228636852240261,0.0642874438566741,0.1889569603391416,0.3984375,0.0009811552448212,0.0008076602034075,0.9921875,0.734375,0.203125
2,2,128,2.5090973182767,2.231785415909028,0.7382901991144115,1.157764065578586,0.75,0.9140625,0.1329417113330099,0.0819934851443369,0.0403591737728135,0.1697703931735397,0.5625,0.0009596959293182,1.828704903504661e-15,0.984375,0.78125,0.375
2,4,128,5.001191311680969,4.110688770834365,2.0504753110637743,2.9714660496065486,0.34375,0.71875,0.1979152685014868,0.1299980961354212,0.0736585063913397,0.2042726567497634,0.3671875,0.0012784782369327,0.0009814461457936,0.96875,0.734375,0.203125
2,8,128,10.6551696045629,10.008490818417249,3.934456470298602,5.3005788228505,0.1875,0.3359375,0.1515788336764684,0.127609982343738,0.0689235312507859,0.1909207378605595,0.421875,0.0010649303691162,0.0008016571894565,0.9921875,0.71875,0.1875
2,12,128,11.816756927601748,11.018139367048796,4.094748338256573,5.386421118092377,0.1484375,0.3125,0.1309434649185448,0.1235065808844808,0.059653526935862,0.1775505285595888,0.421875,0.000960339523357,0.0007185604454776,1.0,0.75,0.2265625
5,2,128,1.928543904578799,1.9632346873156488,0.5798777870169813,0.7649994073723428,0.796875,0.984375,0.0967157957109773,0.0606993563634472,0.0235684489788122,0.1290990131284629,0.65625,0.000664281961442,1.2658926792917738e-15,0.921875,0.8125,0.46875
5,4,128,4.3070581520328695,3.726148861137169,1.5032526602392846,2.135850081677644,0.4609375,0.8046875,0.2148961334767829,0.161624661679848,0.0818534645142358,0.2833244621382489,0.2890625,0.0010996645916076,0.0008356198226167,0.984375,0.7734375,0.1484375
5,8,128,14.283319444450768,13.599062415449817,6.496325120223082,7.711401565579262,0.0390625,0.1015625,0.144615783080975,0.1257025961556708,0.0774814307905251,0.1862305238604114,0.4296875,0.0010833173227654,0.0009739443569664,0.984375,0.7421875,0.2421875
5,12,128,15.5291200019162,15.134028008626055,4.752751478783448,5.984156020068236,0.1328125,0.2734375,0.1342779574221101,0.1181768607489055,0.069648076979742,0.1805113134942959,0.40625,0.0012236430989626,0.001061496743801,0.9609375,0.6875,0.140625
