comp,ele_comb,reward,rl_step
Rb3Na2In4Br9,"('Br', 'In', 'Na', 'Rb')",0.0002181895,0
Mg3(TlBr4)2,"('Br', 'Mg', 'Tl')",0.00023420155,0
K2Na7Sr5,"('K', 'Na', 'Sr')",0.0005144821,0
PbCl2,"('Cl', 'Pb')",0.00019177048,0
NaLi6Ag5,"('Ag', 'Li', 'Na')",0.33254784,0
Cd4In3Sn7,"('Cd', 'In', 'Sn')",0.01193484,0
Ca2TeBr2,"('Br', 'Ca', 'Te')",0.00032647976,0
MgCo2Ni2Sn11,"('Co', 'Mg', 'Ni', 'Sn')",0.113563135,0
Sn3Sb5,"('Sb', 'Sn')",2.968494e-10,0
Tb2Nd2YAl2,"('Al', 'Nd', 'Tb', 'Y')",0.8957634,0
Tb8Tl,"('Tb', 'Tl')",0.8177331,0
Na6HgAu2,"('Au', 'Hg', 'Na')",0.10608126,0
Rb3In7Ag2,"('Ag', 'In', 'Rb')",0.33776107,0
Sr3Pr(CuAs)4,"('As', 'Cu', 'Pr', 'Sr')",0.16893937,0
CsRb3V2F12,"('Cs', 'F', 'Rb', 'V')",2.924265e-05,0
Sr2MgTl,"('Mg', 'Sr', 'Tl')",0.15099993,0
CsKIn4,"('Cs', 'In', 'K')",0.39012975,1
NaSr3Ga,"('Ga', 'Na', 'Sr')",0.06602362,1
CeDy2Er3,"('Ce', 'Dy', 'Er')",0.97074133,1
Ca2PdPb2,"('Ca', 'Pb', 'Pd')",0.115612015,1
RbLiCoBr4,"('Br', 'Co', 'Li', 'Rb')",6.119191e-05,1
NdHo2Er5,"('Er', 'Ho', 'Nd')",0.96306354,1
SmYHg4,"('Hg', 'Sm', 'Y')",0.35592866,1
BaLi4Pt,"('Ba', 'Li', 'Pt')",0.28649196,1
TbSmDy2ErMg2,"('Dy', 'Er', 'Mg', 'Sm', 'Tb')",0.8625047,1
Co4Sn7,"('Co', 'Sn')",0.047995884,2
Cd3GaF8,"('Cd', 'F', 'Ga')",1.3181693e-05,2
TiGa7,"('Ga', 'Ti')",0.54821044,2
Cr2Co3Ni5,"('Co', 'Cr', 'Ni')",0.001993722,2
Ce5Sc,"('Ce', 'Sc')",0.18846978,2
CaPr11Y4,"('Ca', 'Pr', 'Y')",0.9476836,2
VZnMo,"('Mo', 'V', 'Zn')",0.00011423045,2
Pr3(YTm2)2,"('Pr', 'Tm', 'Y')",0.7433804,2
Sr2InGaHg6,"('Ga', 'Hg', 'In', 'Sr')",0.9860047,2
PrSmHo3Er,"('Er', 'Ho', 'Pr', 'Sm')",0.75819105,2
Ca3PbCl8,"('Ca', 'Cl', 'Pb')",1.6785605e-05,2
TiAlGa,"('Al', 'Ga', 'Ti')",0.27150795,2
Hg2Pd7,"('Hg', 'Pd')",2.0695766e-11,2
NaSrHgAu2,"('Au', 'Hg', 'Na', 'Sr')",0.99856323,2
LaPr4(DySe4)2,"('Dy', 'La', 'Pr', 'Se')",0.30378363,2
Ni5AsP,"('As', 'Ni', 'P')",0.28236395,2
Ba8Ag3Rh,"('Ag', 'Ba', 'Rh')",0.3215132,3
Dy8Ho2In,"('Dy', 'Ho', 'In')",0.64165854,3
LaTb3Ho2,"('Ho', 'La', 'Tb')",0.69888055,3
Ce2Ga4Cu3Ni,"('Ce', 'Cu', 'Ga', 'Ni')",0.032091513,3
LaTb(PrHo)2,"('Ho', 'La', 'Pr', 'Tb')",0.7547581,3
RbLa(TlCl3)2,"('Cl', 'La', 'Rb', 'Tl')",2.7551392e-05,3
Tl(OsO3)2,"('O', 'Os', 'Tl')",0.014486714,3
Dy6Bi3Te2Se,"('Bi', 'Dy', 'Se', 'Te')",0.16836019,3
Ca(Zn3Au)2,"('Au', 'Ca', 'Zn')",0.063296326,3
Na2AgRhN,"('Ag', 'N', 'Na', 'Rh')",0.8180662,3
Cs3K3AgHg3,"('Ag', 'Cs', 'Hg', 'K')",0.001986165,3
Sm2Co3Cu,"('Co', 'Cu', 'Sm')",1.5463218e-05,3
K3ScO3,"('K', 'O', 'Sc')",2.5734898e-05,3
CsLiSmAgI6,"('Ag', 'Cs', 'I', 'Li', 'Sm')",0.00024233972,3
ZrAg2HgF8,"('Ag', 'F', 'Hg', 'Zr')",0.00031068927,3
Y2Co(GeH)2,"('Co', 'Ge', 'H', 'Y')",0.2373716,4
Y4CdAg2Hg,"('Ag', 'Cd', 'Hg', 'Y')",0.20418821,4
Na(CdHg4)2,"('Cd', 'Hg', 'Na')",0.7692261,4
Sm2Tl2SbS6,"('S', 'Sb', 'Sm', 'Tl')",0.20785156,4
Li6Pr5MgHg6,"('Hg', 'Li', 'Mg', 'Pr')",0.35439724,4
Yb4CuBi,"('Bi', 'Cu', 'Yb')",0.62263083,4
Sr5Al4,"('Al', 'Sr')",0.12451971,4
PbBr3,"('Br', 'Pb')",8.0387596e-05,4
Cs3Hg4Au3,"('Au', 'Cs', 'Hg')",0.027761169,4
Ca2Ce3DySe6,"('Ca', 'Ce', 'Dy', 'Se')",0.86418945,4
Tb5(HoTm)2,"('Ho', 'Tb', 'Tm')",0.9834959,4
Tb6C2S2NF,"('C', 'F', 'N', 'S', 'Tb')",0.17634772,4
Li2Cd12In3Hg,"('Cd', 'Hg', 'In', 'Li')",0.885704,4
MnGeCl5,"('Cl', 'Ge', 'Mn')",3.1213734e-05,4
Li7In11Hg,"('Hg', 'In', 'Li')",0.9761536,4
Na3Tb2PrF12,"('F', 'Na', 'Pr', 'Tb')",8.740435e-06,4
Rb2LiMn3F12,"('F', 'Li', 'Mn', 'Rb')",2.6570528e-06,5
CeY2(TmP2)3,"('Ce', 'P', 'Tm', 'Y')",0.99998,5
K3RbTe2,"('K', 'Rb', 'Te')",5.0051083e-05,5
Nd6Zn7Rh3,"('Nd', 'Rh', 'Zn')",0.038165156,5
Nd2Sm(YSc)2,"('Nd', 'Sc', 'Sm', 'Y')",0.8854951,5
LiLa4Mg3,"('La', 'Li', 'Mg')",0.22819747,5
Ba4AgSb2,"('Ag', 'Ba', 'Sb')",0.7848904,5
Li(NdGa4)2,"('Ga', 'Li', 'Nd')",0.8234159,5
Cs2KP,"('Cs', 'K', 'P')",0.00030477362,5
CaHoAg8,"('Ag', 'Ca', 'Ho')",0.17117584,5
Tb4IrRu,"('Ir', 'Ru', 'Tb')",0.13325877,5
Na2Cd2In5Hg2,"('Cd', 'Hg', 'In', 'Na')",0.9923074,5
SrLa2In3,"('In', 'La', 'Sr')",0.5527586,5
Ho3(Zn2Ag)2,"('Ag', 'Ho', 'Zn')",0.086654685,5
Tb3Nd3Hg4,"('Hg', 'Nd', 'Tb')",0.96358544,5
Li7Pt3,"('Li', 'Pt')",0.80231225,5
Nd4Y3HoSe8,"('Ho', 'Nd', 'Se', 'Y')",0.31959966,6
CaLa4Ru,"('Ca', 'La', 'Ru')",0.75040936,6
PrInHg4,"('Hg', 'In', 'Pr')",0.17737535,6
Tl7Cd,"('Cd', 'Tl')",0.002907749,6
GaAgHg2,"('Ag', 'Ga', 'Hg')",0.11206089,6
Li4Er2Sn5,"('Er', 'Li', 'Sn')",0.9950121,6
LiAg3PdAu4,"('Ag', 'Au', 'Li', 'Pd')",6.457211e-07,6
Nd(Ga2Ag)4,"('Ag', 'Ga', 'Nd')",0.53371125,6
ScPd5,"('Pd', 'Sc')",4.8022664e-13,6
Tl3CuF8,"('Cu', 'F', 'Tl')",9.4312025e-05,7
KRb4Na3Pb2,"('K', 'Na', 'Pb', 'Rb')",0.005887897,7
Ba3Au,"('Au', 'Ba')",0.35096946,7
Cs3Rb4Na11Hg2,"('Cs', 'Hg', 'Na', 'Rb')",0.0004501222,7
K2Tl2CdAgI8,"('Ag', 'Cd', 'I', 'K', 'Tl')",0.00053792045,7
LaCd3Ag,"('Ag', 'Cd', 'La')",0.96926063,7
ErIn(AsO4)2,"('As', 'Er', 'In', 'O')",0.00072654674,7
Nd6TaN7,"('N', 'Nd', 'Ta')",0.6525702,7
Cs2YErO4,"('Cs', 'Er', 'O', 'Y')",0.0005317885,7
CsCaCeF6,"('Ca', 'Ce', 'Cs', 'F')",1.0290137e-05,7
Cd7(GaAg)4,"('Ag', 'Cd', 'Ga')",0.12731996,7
Li2(Ga3Cu)3,"('Cu', 'Ga', 'Li')",0.77771366,7
Na3Zr3RhS8,"('Na', 'Rh', 'S', 'Zr')",0.12592325,7
Na2CdInBi2,"('Bi', 'Cd', 'In', 'Na')",0.8263561,7
CaY3Tl3Te8,"('Ca', 'Te', 'Tl', 'Y')",0.20247874,7
CaTlHg5Pd,"('Ca', 'Hg', 'Pd', 'Tl')",0.86652756,7
Cs2Ti2PdS6,"('Cs', 'Pd', 'S', 'Ti')",0.018649453,8
Sm3SnH2,"('H', 'Sm', 'Sn')",0.97862536,8
Y10Pd5Pt3,"('Pd', 'Pt', 'Y')",0.0047199707,8
Ca8AgSb5,"('Ag', 'Ca', 'Sb')",0.9992255,8
Na2Tl7CdHg2,"('Cd', 'Hg', 'Na', 'Tl')",0.37427768,8
TePbAuBr8,"('Au', 'Br', 'Pb', 'Te')",0.00031646554,8
Sr3Li,"('Li', 'Sr')",0.0020299633,8
Cu4Ge2Pd13,"('Cu', 'Ge', 'Pd')",1.4332092e-14,8
Ca2Tl11,"('Ca', 'Tl')",0.004839443,8
Cs3KRb2CdF8,"('Cd', 'Cs', 'F', 'K', 'Rb')",6.6273424e-06,8
Na8Sr2Hg9,"('Hg', 'Na', 'Sr')",0.11265344,8
La2GaCu7,"('Cu', 'Ga', 'La')",0.0006898099,8
Li4Mn3CrS8,"('Cr', 'Li', 'Mn', 'S')",0.218426,9
SrZnAu3,"('Au', 'Sr', 'Zn')",0.21425347,9
La6SmIn,"('In', 'La', 'Sm')",0.7613821,9
KErCuTe3,"('Cu', 'Er', 'K', 'Te')",0.19530512,9
Sc3Ga3Au2,"('Au', 'Ga', 'Sc')",0.0011975823,9
Tb3Pr3SiSn2,"('Pr', 'Si', 'Sn', 'Tb')",0.53708017,9
Tb2AgGe2,"('Ag', 'Ge', 'Tb')",0.049715973,9
LiTb(YTl)2,"('Li', 'Tb', 'Tl', 'Y')",0.9910858,9
Tb5Dy5Rh8,"('Dy', 'Rh', 'Tb')",1.0924289e-06,9
NdEr2Sc2In5,"('Er', 'In', 'Nd', 'Sc')",0.10501646,9
Mg(AgHg)4,"('Ag', 'Hg', 'Mg')",0.029986344,9
Tb2MgGaRh2,"('Ga', 'Mg', 'Rh', 'Tb')",7.823459e-06,9
La3ZnRu,"('La', 'Ru', 'Zn')",0.34551182,9
Rb2LiNiI6,"('I', 'Li', 'Ni', 'Rb')",0.00048797816,9
Rb3TiBr6,"('Br', 'Rb', 'Ti')",8.234103e-05,9
LaYbAl2O6,"('Al', 'La', 'O', 'Yb')",0.0008124273,9
La2NdSm7Y2,"('La', 'Nd', 'Sm', 'Y')",0.8856315,10
Zn2Cu7Au5,"('Au', 'Cu', 'Zn')",1.5721074e-09,10
K4PrF7,"('F', 'K', 'Pr')",4.833571e-06,10
Ba2NaSb2,"('Ba', 'Na', 'Sb')",0.6946465,10
Na3Ca(TlPb5)2,"('Ca', 'Na', 'Pb', 'Tl')",0.018748872,10
K2TaV(NiSe3)2,"('K', 'Ni', 'Se', 'Ta', 'V')",0.23175001,10
Na7Tl4Au,"('Au', 'Na', 'Tl')",0.5721946,10
CsCuSe,"('Cs', 'Cu', 'Se')",0.022131639,10
TlSnF3,"('F', 'Sn', 'Tl')",6.6457396e-05,10
PrNd2Sb,"('Nd', 'Pr', 'Sb')",0.8064632,10
CsAg2Br7,"('Ag', 'Br', 'Cs')",0.0008207365,10
La2Y2Er3,"('Er', 'La', 'Y')",0.9790254,10
NaSn4,"('Na', 'Sn')",0.97426206,10
Nd3TmIr2,"('Ir', 'Nd', 'Tm')",0.98218954,10
Ga4Rh3,"('Ga', 'Rh')",3.5304214e-16,10
H6AuBr11,"('Au', 'Br', 'H')",1.0474087e-05,10
TbZn2Co3,"('Co', 'Tb', 'Zn')",0.0025401022,11
Tb6MgSc,"('Mg', 'Sc', 'Tb')",0.99953276,11
PbCl2,"('Cl', 'Pb')",0.00013377535,11
Zn5Cu2Pd7,"('Cu', 'Pd', 'Zn')",2.62868e-08,11
K2Ce2TmS6,"('Ce', 'K', 'S', 'Tm')",0.02016505,11
Cs4NaLiAgBr9,"('Ag', 'Br', 'Cs', 'Li', 'Na')",4.2201704e-05,11
KNa2Ag3,"('Ag', 'K', 'Na')",0.1306967,11
TlCoAgBr4,"('Ag', 'Br', 'Co', 'Tl')",0.0005432573,11
CeZrTl2F10,"('Ce', 'F', 'Tl', 'Zr')",0.00010563899,11
LaCo2Si,"('Co', 'La', 'Si')",0.6042019,11
Yb2Hg3,"('Hg', 'Yb')",0.73483205,11
ZrAlCu4,"('Al', 'Cu', 'Zr')",9.999932e-07,11
Ca10ZnCu,"('Ca', 'Cu', 'Zn')",0.05848012,11
ErGa3Sn2Au3,"('Au', 'Er', 'Ga', 'Sn')",0.0012597424,11
