record,comp,ele_comb,reward,source_loop
"{'structure_id': 'gen_1', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0005/postprocess/input_cifs/gen_1.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0005/postprocess/input_cifs/gen_1.cif', 'raw_valid': True, 'formula': 'Ce1 Y2 Tm3 P6', 'chemical_system': 'Ce-P-Tm-Y', 'num_sites': 12, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0005/postprocess/relaxed/relaxed_cifs/gen_1_relaxed.cif', 'relaxation_success': True, 'total_energy': -83.85751342773438, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.012661357860182, 'predicted_tensor': '[[12.22907894566111, -0.0003876675784167661, 0.006509584594548917], [-0.0003876675784167661, 12.228411067518106, 0.010829621792314809], [0.006509584594548917, 0.010829621792314809, 11.58049406040133]]', 'volume': 271.676302760098, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.0126613578601819, 'reward_raw': 0.9999799614529165, 'reward_final': 0.99998, 'gate_reason': nan, 'reward_final_diversity': 0.99998, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 5}",CeY2(TmP2)3,"('Ce', 'P', 'Tm', 'Y')",0.99998,5
"{'structure_id': 'gen_46', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0007/postprocess/input_cifs/gen_46.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0007/postprocess/input_cifs/gen_46.cif', 'raw_valid': True, 'formula': 'Sm5 Dy5 Mg2', 'chemical_system': 'Dy-Mg-Sm', 'num_sites': 12, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0007/postprocess/relaxed/relaxed_cifs/gen_46_relaxed.cif', 'relaxation_success': True, 'total_energy': -49.304443359375, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.02503975236812, 'predicted_tensor': '[[12.03658427859356, 0.0006234003841212747, 3.317462080414832e-05], [0.0006234003841212747, 11.92630656840279, -0.0013405375476783974], [3.317462080414832e-05, -0.0013405375476783974, 12.112228410108012]]', 'volume': 372.9225591271498, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.025039752368119395, 'reward_raw': 0.9999216294213021, 'reward_final': 0.9999216198921204, 'gate_reason': '', 'reward_final_diversity': 0.9999216198921204, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 7}",Sm5Dy5Mg2,"('Dy', 'Mg', 'Sm')",0.9999216198921204,7
"{'structure_id': 'gen_36', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0019/postprocess/input_cifs/gen_36.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0019/postprocess/input_cifs/gen_36.cif', 'raw_valid': True, 'formula': 'Tb5 Pr3 Tm1', 'chemical_system': 'Pr-Tb-Tm', 'num_sites': 9, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0019/postprocess/relaxed/relaxed_cifs/gen_36_relaxed.cif', 'relaxation_success': True, 'total_energy': -41.76632690429688, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.051220078548107, 'predicted_tensor': '[[12.097253289969379, -0.0005514516478141746, -0.00034240759387106016], [-0.0005514516478141746, 12.026303735434846, -0.02670956364606649], [-0.00034240759387106016, -0.02670956364606649, 12.03010321024009]]', 'volume': 299.1891821343943, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.0512200785481073, 'reward_raw': 0.9996721167096696, 'reward_final': 0.9996721, 'gate_reason': nan, 'reward_final_diversity': 0.9996721, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 19}",Tb5Pr3Tm,"('Pr', 'Tb', 'Tm')",0.9996721,19
"{'structure_id': 'gen_32', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0000/postprocess/input_cifs/gen_32.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0000/postprocess/input_cifs/gen_32.cif', 'raw_valid': True, 'formula': 'Yb2 Si2 W2 C1', 'chemical_system': 'C-Si-W-Yb', 'num_sites': 7, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0000/postprocess/relaxed/relaxed_cifs/gen_32_relaxed.cif', 'relaxation_success': True, 'total_energy': -51.599388122558594, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 11.948761382246287, 'predicted_tensor': '[[13.80229594074191, -2.5993768140728004e-06, -1.5194337000305625e-05], [-2.5993768140728004e-06, 13.802549374194713, 6.589072092999416e-06], [-1.5194337000305625e-05, 6.589072092999416e-06, 8.241438831802256]]', 'volume': 128.2703980281493, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.051238617753712745, 'reward_raw': 0.9996718793496951, 'reward_final': 0.9996718764305115, 'gate_reason': '', 'reward_final_diversity': 0.9996718764305115, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 0}",Yb2Si2W2C,"('C', 'Si', 'W', 'Yb')",0.9996718764305116,0
"{'structure_id': 'gen_26', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0015/postprocess/input_cifs/gen_26.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0015/postprocess/input_cifs/gen_26.cif', 'raw_valid': True, 'formula': 'Li2 Ho2 Cu2', 'chemical_system': 'Cu-Ho-Li', 'num_sites': 6, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0015/postprocess/relaxed/relaxed_cifs/gen_26_relaxed.cif', 'relaxation_success': True, 'total_energy': -22.039405822753903, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 11.946850843662125, 'predicted_tensor': '[[12.586870375447647, 0.0059048497383809555, 0.002361309655027174], [0.0059048497383809555, 11.51078548151554, 0.4497147602868634], [0.002361309655027174, 0.4497147602868634, 11.74289667402318]]', 'volume': 119.76191250313458, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.0531491563378754, 'reward_raw': 0.999646958231488, 'reward_final': 0.99964696, 'gate_reason': nan, 'reward_final_diversity': 0.99964696, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 15}",LiHoCu,"('Cu', 'Ho', 'Li')",0.99964696,15
"{'structure_id': 'gen_61', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0020/postprocess/input_cifs/gen_61.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0020/postprocess/input_cifs/gen_61.cif', 'raw_valid': True, 'formula': 'La2 Tb5 Mg1', 'chemical_system': 'La-Mg-Tb', 'num_sites': 8, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0020/postprocess/relaxed/relaxed_cifs/gen_61_relaxed.cif', 'relaxation_success': True, 'total_energy': -34.42203521728516, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.059366013889909, 'predicted_tensor': '[[12.08431127723355, -0.0007622644751637852, 1.2950110479454569e-05], [-0.0007622644751637852, 12.084284960979321, -3.290033779205606e-05], [1.2950110479454569e-05, -3.290033779205606e-05, 12.009501803456857]]', 'volume': 257.28061129156265, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.0593660138899085, 'reward_raw': 0.9995595565730492, 'reward_final': 0.9995596, 'gate_reason': nan, 'reward_final_diversity': 0.9995596, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 20}",La2Tb5Mg,"('La', 'Mg', 'Tb')",0.9995596,20
"{'structure_id': 'gen_20', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0011/postprocess/input_cifs/gen_20.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0011/postprocess/input_cifs/gen_20.cif', 'raw_valid': True, 'formula': 'Tb6 Mg1 Sc1', 'chemical_system': 'Mg-Sc-Tb', 'num_sites': 8, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0011/postprocess/relaxed/relaxed_cifs/gen_20_relaxed.cif', 'relaxation_success': True, 'total_energy': -35.610843658447266, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.061146953681936, 'predicted_tensor': '[[12.055508295478477, 0.05074264861595956, -0.010685728401119816], [0.05074264861595956, 12.110262222006696, 0.0062418847938178175], [-0.010685728401119816, 0.0062418847938178175, 12.017670343560637]]', 'volume': 239.13230718044343, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.061146953681936, 'reward_raw': 0.9995327404566856, 'reward_final': 0.99953276, 'gate_reason': nan, 'reward_final_diversity': 0.99953276, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 11}",Tb6MgSc,"('Mg', 'Sc', 'Tb')",0.99953276,11
"{'structure_id': 'gen_2', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0008/postprocess/input_cifs/gen_2.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0008/postprocess/input_cifs/gen_2.cif', 'raw_valid': True, 'formula': 'Ca8 Ag1 Sb5', 'chemical_system': 'Ag-Ca-Sb', 'num_sites': 14, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0008/postprocess/relaxed/relaxed_cifs/gen_2_relaxed.cif', 'relaxation_success': True, 'total_energy': -52.53476333618164, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.078729504586262, 'predicted_tensor': '[[12.080607621785184, -0.0667417936358694, -0.11839707412684403], [-0.0667417936358694, 12.029527268736002, 0.0834887715111063], [-0.11839707412684403, 0.0834887715111063, 12.126053623237606]]', 'volume': 427.1057863462406, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.0787295045862617, 'reward_raw': 0.9992255082121614, 'reward_final': 0.9992255, 'gate_reason': nan, 'reward_final_diversity': 0.9992255, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 8}",Ca8AgSb5,"('Ag', 'Ca', 'Sb')",0.9992255,8
"{'structure_id': 'gen_22', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0001/postprocess/input_cifs/gen_22.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0001/postprocess/input_cifs/gen_22.cif', 'raw_valid': True, 'formula': 'La1 Tb6 Y1 Er4', 'chemical_system': 'Er-La-Tb-Y', 'num_sites': 12, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0001/postprocess/relaxed/relaxed_cifs/gen_22_relaxed.cif', 'relaxation_success': True, 'total_energy': -57.13615417480469, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 11.909757340403951, 'predicted_tensor': '[[11.99046124090913, 9.999378417147056e-05, 0.0005591501663746375], [9.999378417147056e-05, 11.991918237220172, -0.0009077284836785037], [0.0005591501663746375, -0.0009077284836785037, 11.746892543082538]]', 'volume': 384.27608651540834, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.09024265959604882, 'reward_raw': 0.9989825507514726, 'reward_final': 0.9989825487136841, 'gate_reason': '', 'reward_final_diversity': 0.9989825487136841, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 1}",LaTb6YEr4,"('Er', 'La', 'Tb', 'Y')",0.998982548713684,1
"{'structure_id': 'gen_45', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0002/postprocess/input_cifs/gen_45.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0002/postprocess/input_cifs/gen_45.cif', 'raw_valid': True, 'formula': 'Na1 Sr1 Hg1 Au2', 'chemical_system': 'Au-Hg-Na-Sr', 'num_sites': 5, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0002/postprocess/relaxed/relaxed_cifs/gen_45_relaxed.cif', 'relaxation_success': True, 'total_energy': -12.46815299987793, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.107249927061387, 'predicted_tensor': '[[10.167322112607089, -2.0334657854499288e-05, 0.003756366938864168], [-2.0334657854499288e-05, 10.154241037638268, 0.0018535753486318076], [0.003756366938864168, 0.0018535753486318076, 16.000186630938806]]', 'volume': 131.2312067372903, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.1072499270613871, 'reward_raw': 0.998563214808752, 'reward_final': 0.99856323, 'gate_reason': nan, 'reward_final_diversity': 0.99856323, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 2}",NaSrHgAu2,"('Au', 'Hg', 'Na', 'Sr')",0.99856323,2
