structure_id,cif_path,input_cif_path,raw_valid,formula,chemical_system,num_sites,raw_valid_reason,relaxed_cif_path,relaxation_success,total_energy,composition_valid,structure_valid,structure_comp_valid,reference_name,is_unique,is_novel,stable,predicted_dielectric_scalar,predicted_tensor,volume,prediction_success,target_dielectric_scalar,abs_error,reward_raw,reward_final,gate_reason,reward_final_diversity,diversity_penalty
gen_0,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_0.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_0.cif,True,Tb1 Mg3 Cu8,Cu-Mg-Tb,12,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/relaxed/relaxed_cifs/gen_0_relaxed.cif,True,-44.05800628662109,True,True,True,TRI2024,True,True,True,18.428300812038863,"[[18.598118950350855, -0.002142758240325663, 0.0015732491198296235], [-0.002142758240325663, 18.60317189343784, 0.002299151325620171], [0.0015732491198296235, 0.002299151325620171, 18.0836115923279]]",182.1579939166054,True,12.0,6.428300812038863,0.0057108841994667,0.005710884,,0.005710884,False
gen_12,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_12.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_12.cif,True,Yb1 Al9 Pd2,Al-Pd-Yb,12,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/relaxed/relaxed_cifs/gen_12_relaxed.cif,True,-49.64381790161133,True,True,True,TRI2024,True,True,True,13.959614529040708,"[[14.548791344722888, -0.001020651903617168, -0.0015024728265789487], [-0.001020651903617168, 13.667037617851822, -0.0005912039700348533], [-0.0015024728265789487, -0.0005912039700348533, 13.663014624547406]]",223.46417652042047,True,12.0,1.9596145290407083,0.6187764999567374,0.6187765,,0.6187765,False
gen_15,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_15.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_15.cif,True,Nd2 Y6 Pb4,Nd-Pb-Y,12,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/relaxed/relaxed_cifs/gen_15_relaxed.cif,True,-69.02667236328125,True,True,True,TRI2024,True,True,True,15.322582351014018,"[[15.350967500331032, -0.0005007541308360398, -0.00012690347825385567], [-0.0005007541308360398, 15.16869928865923, -7.137624370926215e-05], [-0.00012690347825385567, -7.137624370926215e-05, 15.44808026405178]]",365.3097321709178,True,12.0,3.3225823510140184,0.2515925953315387,0.2515926,,0.2515926,False
gen_24,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_24.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_24.cif,True,Ce5 P6 Pb1,Ce-P-Pb,12,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/relaxed/relaxed_cifs/gen_24_relaxed.cif,True,-80.37384033203125,True,True,True,TRI2024,True,True,True,15.119196956214443,"[[15.06149900897482, -0.01811145350777163, -0.036560222184313027], [-0.01811145350777163, 15.156409210695843, -0.008048462736118143], [-0.036560222184313027, -0.008048462736118143, 15.139682648972663]]",305.2605260954211,True,12.0,3.1191969562144437,0.2963619681263306,0.29636198,,0.29636198,False
gen_26,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_26.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_26.cif,True,Ce6 Rh3,Ce-Rh,9,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/relaxed/relaxed_cifs/gen_26_relaxed.cif,True,-61.90192413330078,True,True,True,TRI2024,True,True,True,22.06105728597909,"[[22.153820174984716, -0.0003991134872311458, -0.004001430112212811], [-0.0003991134872311458, 23.811784265626287, -0.0009513995544153284], [-0.004001430112212811, -0.0009513995544153284, 20.217567417326258]]",217.4847045411544,True,12.0,10.06105728597909,3.1976026079002545e-06,3.1976026e-06,,3.1976026e-06,False
gen_30,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_30.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_30.cif,True,Ca4 In2 Au14,Au-Ca-In,20,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/relaxed/relaxed_cifs/gen_30_relaxed.cif,True,-68.68423461914062,True,True,True,TRI2024,True,True,True,24.49099255311953,"[[24.962984982638663, 0.18348700562289083, -0.8541802897350794], [0.18348700562289083, 24.230423879665327, 1.2332457551367109], [-0.8541802897350794, 1.2332457551367109, 24.279568797054612]]",432.215951583055,True,12.0,12.49099255311953,3.3877092878397012e-09,3.3877092e-09,,3.3877092e-09,False
gen_32,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_32.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_32.cif,True,Ba2 In6 Pt4,Ba-In-Pt,12,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/relaxed/relaxed_cifs/gen_32_relaxed.cif,True,-51.33415985107422,True,True,True,TRI2024,True,True,True,17.812323717195824,"[[20.656264505337365, -0.001640335093430566, 0.0004513545457139692], [-0.001640335093430566, 16.065908255864063, 1.1426970439083952], [0.0004513545457139692, 1.1426970439083952, 16.714798390386047]]",300.27221137038515,True,12.0,5.812323717195824,0.0146562505738061,0.01465625,,0.01465625,False
gen_33,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_33.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_33.cif,True,Li1 Dy1 Er2 Ag4,Ag-Dy-Er-Li,8,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/relaxed/relaxed_cifs/gen_33_relaxed.cif,True,-29.535524368286133,True,True,True,TRI2024,True,True,True,12.669088690392192,"[[12.634870551563932, -0.0010100540983626286, -0.002943197347048491], [-0.0010100540983626286, 12.618406113599686, -0.001185518972822008], [-0.002943197347048491, -0.001185518972822008, 12.753989406012948]]",178.17213731008846,True,12.0,0.6690886903921918,0.9455769965541504,0.945577,,0.945577,False
gen_38,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_38.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_38.cif,True,Tb4 Ga4,Ga-Tb,8,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/relaxed/relaxed_cifs/gen_38_relaxed.cif,True,-35.64390182495117,True,True,True,TRI2024,True,True,True,12.6391466268741,"[[15.687172815986463, 0.0016475643231181106, 0.001325448684587806], [0.0016475643231181106, 10.946491965137119, -0.0041238217370011205], [0.001325448684587806, -0.0041238217370011205, 11.283775099498717]]",194.82926182752,True,12.0,0.6391466268740995,0.9502182809774432,0.95021826,,0.95021826,False
gen_39,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_39.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/input_cifs/gen_39.cif,True,Tb1 Nd1 Hg1 Pd1,Hg-Nd-Pd-Tb,4,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0011/postprocess/relaxed/relaxed_cifs/gen_39_relaxed.cif,True,-17.466503143310547,True,True,True,TRI2024,True,True,True,16.054081508971333,"[[16.306699670514007, -0.004554912613617718, -0.004577968559465352], [-0.004554912613617718, 16.30723119129177, -5.076690654874955e-05], [-0.004577968559465352, -5.076690654874955e-05, 15.548313665108212]]",100.18340466277536,True,12.0,4.054081508971333,0.1281636763850223,0.12816368,,0.12816368,False
