record,comp,ele_comb,reward,source_loop
"{'structure_id': 'gen_61', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0014/postprocess/input_cifs/gen_61.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0014/postprocess/input_cifs/gen_61.cif', 'raw_valid': True, 'formula': 'La2 Tb4 Nd5 Ho1', 'chemical_system': 'Ho-La-Nd-Tb', 'num_sites': 12, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0014/postprocess/relaxed/relaxed_cifs/gen_61_relaxed.cif', 'relaxation_success': True, 'total_energy': -56.512939453125, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 11.992990716237385, 'predicted_tensor': '[[12.01276622630209, -0.0002706401142550392, -0.00034875373782003883], [-0.0002706401142550392, 12.008012068133096, -0.018677691674491067], [-0.00034875373782003883, -0.018677691674491067, 11.958193854276965]]', 'volume': 409.35033349994205, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.007009283762615226, 'reward_raw': 0.9999938587614994, 'reward_final': 0.9999938607215881, 'gate_reason': '', 'reward_final_diversity': 0.9999938607215881, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 14}",La2Tb4Nd5Ho,"('Ho', 'La', 'Nd', 'Tb')",0.999993860721588,14
"{'structure_id': 'gen_46', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0007/postprocess/input_cifs/gen_46.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0007/postprocess/input_cifs/gen_46.cif', 'raw_valid': True, 'formula': 'Sm5 Dy5 Mg2', 'chemical_system': 'Dy-Mg-Sm', 'num_sites': 12, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0007/postprocess/relaxed/relaxed_cifs/gen_46_relaxed.cif', 'relaxation_success': True, 'total_energy': -49.304443359375, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.02503975236812, 'predicted_tensor': '[[12.03658427859356, 0.0006234003841212747, 3.317462080414832e-05], [0.0006234003841212747, 11.92630656840279, -0.0013405375476783974], [3.317462080414832e-05, -0.0013405375476783974, 12.112228410108012]]', 'volume': 372.9225591271498, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.0250397523681193, 'reward_raw': 0.999921629421302, 'reward_final': 0.9999216, 'gate_reason': nan, 'reward_final_diversity': 0.9999216, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 7}",Sm5Dy5Mg2,"('Dy', 'Mg', 'Sm')",0.9999216,7
"{'structure_id': 'gen_27', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0014/postprocess/input_cifs/gen_27.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0014/postprocess/input_cifs/gen_27.cif', 'raw_valid': True, 'formula': 'Li2 Mg2 Cd3 Sn3', 'chemical_system': 'Cd-Li-Mg-Sn', 'num_sites': 10, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0014/postprocess/relaxed/relaxed_cifs/gen_27_relaxed.cif', 'relaxation_success': True, 'total_energy': -23.290746688842773, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.027876072126842, 'predicted_tensor': '[[12.099228276510537, -0.004158593585366015, 0.0029638589905571703], [-0.004158593585366015, 11.803262053340855, 0.12707431342504885], [0.0029638589905571703, 0.12707431342504885, 12.181137886529129]]', 'volume': 223.3550867791205, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.02787607212684229, 'reward_raw': 0.9999028702927428, 'reward_final': 0.9999028444290161, 'gate_reason': '', 'reward_final_diversity': 0.9999028444290161, 'diversity_penalty': False, 'selection_rank': 2, 'source_loop': 14}",Li2Mg2(CdSn)3,"('Cd', 'Li', 'Mg', 'Sn')",0.999902844429016,14
"{'structure_id': 'gen_32', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0000/postprocess/input_cifs/gen_32.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0000/postprocess/input_cifs/gen_32.cif', 'raw_valid': True, 'formula': 'Yb2 Si2 W2 C1', 'chemical_system': 'C-Si-W-Yb', 'num_sites': 7, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0000/postprocess/relaxed/relaxed_cifs/gen_32_relaxed.cif', 'relaxation_success': True, 'total_energy': -51.599388122558594, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 11.948761382246287, 'predicted_tensor': '[[13.80229594074191, -2.5993768140728004e-06, -1.5194337000305625e-05], [-2.5993768140728004e-06, 13.802549374194713, 6.589072092999416e-06], [-1.5194337000305625e-05, 6.589072092999416e-06, 8.241438831802256]]', 'volume': 128.2703980281493, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.0512386177537127, 'reward_raw': 0.9996718793496951, 'reward_final': 0.9996719, 'gate_reason': nan, 'reward_final_diversity': 0.9996719, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 0}",Yb2Si2W2C,"('C', 'Si', 'W', 'Yb')",0.9996719,0
"{'structure_id': 'gen_22', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0001/postprocess/input_cifs/gen_22.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0001/postprocess/input_cifs/gen_22.cif', 'raw_valid': True, 'formula': 'La1 Tb6 Y1 Er4', 'chemical_system': 'Er-La-Tb-Y', 'num_sites': 12, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0001/postprocess/relaxed/relaxed_cifs/gen_22_relaxed.cif', 'relaxation_success': True, 'total_energy': -57.13615417480469, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 11.909757340403951, 'predicted_tensor': '[[11.99046124090913, 9.999378417147056e-05, 0.0005591501663746375], [9.999378417147056e-05, 11.991918237220172, -0.0009077284836785037], [0.0005591501663746375, -0.0009077284836785037, 11.746892543082538]]', 'volume': 384.27608651540834, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.0902426595960488, 'reward_raw': 0.9989825507514726, 'reward_final': 0.99898255, 'gate_reason': nan, 'reward_final_diversity': 0.99898255, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 1}",LaTb6YEr4,"('Er', 'La', 'Tb', 'Y')",0.99898255,1
"{'structure_id': 'gen_58', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0010/postprocess/input_cifs/gen_58.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0010/postprocess/input_cifs/gen_58.cif', 'raw_valid': True, 'formula': 'Nd1 Dy1 Tm1 Sc1', 'chemical_system': 'Dy-Nd-Sc-Tm', 'num_sites': 4, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0010/postprocess/relaxed/relaxed_cifs/gen_58_relaxed.cif', 'relaxation_success': True, 'total_energy': -20.04163360595703, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.096269710479485, 'predicted_tensor': '[[12.317427193177235, -0.0012307578183695304, 0.0009034052043548165], [-0.0012307578183695304, 12.317405993466561, -0.0009243152737065804], [0.0009034052043548165, -0.0009243152737065804, 11.653975944794652]]', 'volume': 121.69338783818144, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.09626971047948452, 'reward_raw': 0.9988421886369097, 'reward_final': 0.998842179775238, 'gate_reason': '', 'reward_final_diversity': 0.998842179775238, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 10}",NdDyTmSc,"('Dy', 'Nd', 'Sc', 'Tm')",0.998842179775238,10
"{'structure_id': 'gen_8', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0009/postprocess/input_cifs/gen_8.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0009/postprocess/input_cifs/gen_8.cif', 'raw_valid': True, 'formula': 'La1 Tb2 Dy3 Er6', 'chemical_system': 'Dy-Er-La-Tb', 'num_sites': 12, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0009/postprocess/relaxed/relaxed_cifs/gen_8_relaxed.cif', 'relaxation_success': True, 'total_energy': -55.119441986083984, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 11.880817871290644, 'predicted_tensor': '[[11.799348883680263, 5.2560616701389627e-05, 0.0002935424263644279], [5.2560616701389627e-05, 11.901688600431287, -0.004265909087912859], [0.0002935424263644279, -0.004265909087912859, 11.941416129760388]]', 'volume': 378.8208845234831, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.1191821287093564, 'reward_raw': 0.9982260278764484, 'reward_final': 0.99822605, 'gate_reason': nan, 'reward_final_diversity': 0.99822605, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 9}",LaTb2(DyEr2)3,"('Dy', 'Er', 'La', 'Tb')",0.99822605,9
"{'structure_id': 'gen_7', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0002/postprocess/input_cifs/gen_7.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0002/postprocess/input_cifs/gen_7.cif', 'raw_valid': True, 'formula': 'Sr2 Cd5 Au4', 'chemical_system': 'Au-Cd-Sr', 'num_sites': 11, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0002/postprocess/relaxed/relaxed_cifs/gen_7_relaxed.cif', 'relaxation_success': True, 'total_energy': -25.49468040466309, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.121108911343306, 'predicted_tensor': '[[11.094248878956328, 0.4014427378954629, -0.009850017358215134], [0.4014427378954629, 11.5531963934457, 0.012273482064029503], [-0.009850017358215134, 0.012273482064029503, 13.71588146162788]]', 'volume': 279.5203420180285, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.1211089113433061, 'reward_raw': 0.9981682586388468, 'reward_final': 0.99816823, 'gate_reason': nan, 'reward_final_diversity': 0.99816823, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 2}",Sr2Cd5Au4,"('Au', 'Cd', 'Sr')",0.99816823,2
"{'structure_id': 'gen_22', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0012/postprocess/input_cifs/gen_22.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0012/postprocess/input_cifs/gen_22.cif', 'raw_valid': True, 'formula': 'Tb2 Pr3 Eu1 Y2', 'chemical_system': 'Eu-Pr-Tb-Y', 'num_sites': 8, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval32_topk025_loop0009_e1_replay4_cut03_gpu_20260731/loop_0012/postprocess/relaxed/relaxed_cifs/gen_22_relaxed.cif', 'relaxation_success': True, 'total_energy': -46.309776306152344, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.141732601560271, 'predicted_tensor': '[[12.227266977316964, 3.7973259815064066e-05, -0.0020136264037636754], [3.7973259815064066e-05, 12.161175656113642, 0.0003930729836162912], [-0.0020136264037636754, 0.0003930729836162912, 12.036755171250205]]', 'volume': 276.8110126666722, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.14173260156027112, 'reward_raw': 0.997492133671193, 'reward_final': 0.9974921345710754, 'gate_reason': '', 'reward_final_diversity': 0.9974921345710754, 'diversity_penalty': False, 'selection_rank': 1, 'source_loop': 12}",Tb2Pr3EuY2,"('Eu', 'Pr', 'Tb', 'Y')",0.9974921345710754,12
"{'structure_id': 'gen_26', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0007/postprocess/input_cifs/gen_26.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0007/postprocess/input_cifs/gen_26.cif', 'raw_valid': True, 'formula': 'Li4 Al3 Zn3 Ag4', 'chemical_system': 'Ag-Al-Li-Zn', 'num_sites': 14, 'raw_valid_reason': nan, 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_eval24_topk025_from_loop0020/loop_0007/postprocess/relaxed/relaxed_cifs/gen_26_relaxed.cif', 'relaxation_success': True, 'total_energy': -36.3390998840332, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.14989222641752, 'predicted_tensor': '[[12.81478248239788, -0.0014951063841295105, -0.0010519059845623781], [-0.0014951063841295105, 11.932959916358863, -0.814722613350009], [-0.0010519059845623781, -0.814722613350009, 11.70193428049582]]', 'volume': 223.51081827399568, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.1498922264175206, 'reward_raw': 0.9971954800917352, 'reward_final': 0.9971955, 'gate_reason': nan, 'reward_final_diversity': 0.9971955, 'diversity_penalty': False, 'selection_rank': 2, 'source_loop': 7}",Li4Al3Zn3Ag4,"('Ag', 'Al', 'Li', 'Zn')",0.9971955,7
