structure_id,cif_path,input_cif_path,raw_valid,formula,chemical_system,num_sites,raw_valid_reason,relaxed_cif_path,relaxation_success,total_energy,composition_valid,structure_valid,structure_comp_valid,reference_name,is_unique,is_novel,stable,predicted_dielectric_scalar,predicted_tensor,volume,prediction_success,target_dielectric_scalar,abs_error,reward_raw,reward_final,gate_reason
gen_13,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_13.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_13.cif,True,Li4 Ca4 Sc2 Pt10,Ca-Li-Pt-Sc,20,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/relaxed/relaxed_cifs/gen_13_relaxed.cif,True,-106.12235260009766,True,True,True,TRI2024,True,True,True,23.0439802984685,"[[19.96577900802286, 0.00031638210088207665, -0.00022021000398523386], [0.00031638210088207665, 24.590667157014952, -0.004203838307104024], [-0.00022021000398523386, -0.004203838307104024, 24.57549473036769]]",347.75992152789,True,12.0,11.0439802984685,2.391469538941181e-07,2.391469538941181e-07,
gen_14,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_14.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_14.cif,True,Tb2 Nd7 Er7,Er-Nd-Tb,16,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/relaxed/relaxed_cifs/gen_14_relaxed.cif,True,-74.20384216308594,True,True,True,TRI2024,True,True,True,11.380939330858451,"[[11.336954003970611, 0.006315698364549598, 0.008768687600840252], [0.006315698364549598, 11.460399419739723, -0.0022354064630764163], [0.008768687600840252, -0.0022354064630764163, 11.34546456886503]]",525.5692492467635,True,12.0,0.6190606691415486,0.9532248023462792,0.9532248023462792,
gen_16,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_16.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_16.cif,True,Er2 Zn9 Au1,Au-Er-Zn,12,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/relaxed/relaxed_cifs/gen_16_relaxed.cif,True,-27.328800201416016,True,True,True,TRI2024,True,True,True,16.10359748925411,"[[15.90739602352355, 0.0011551633462207908, -0.0050712680311087695], [0.0011551633462207908, 15.90319731506997, -0.006232959917048794], [-0.0050712680311087695, -0.006232959917048794, 16.50019912916881]]",204.3480155439731,True,12.0,4.10359748925411,0.1218531016927632,0.1218531016927632,
gen_17,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_17.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_17.cif,True,Tb4 Cd1 Au5,Au-Cd-Tb,10,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/relaxed/relaxed_cifs/gen_17_relaxed.cif,True,-44.17979431152344,True,True,True,TRI2024,True,True,True,18.28646841683835,"[[14.96907410495781, 0.00017226736219196477, 0.00024014354021223536], [0.00017226736219196477, 19.94302992922106, 3.3375605399116e-05], [0.00024014354021223536, 3.3375605399116e-05, 19.947301216336193]]",236.19261342678732,True,12.0,6.28646841683835,0.0071548799507356,0.0071548799507356,
gen_19,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_19.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_19.cif,True,Tb2 Mg1 Te2 O10,Mg-O-Tb-Te,15,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/relaxed/relaxed_cifs/gen_19_relaxed.cif,True,-98.15543365478516,True,True,True,TRI2024,True,True,True,4.072522339875596,"[[4.202915300167859, -0.03437266739317641, -0.11315777056443858], [-0.03437266739317641, 3.982575567908809, -0.043954576145193255], [-0.11315777056443858, -0.043954576145193255, 4.032076151550118]]",207.48560411599263,True,12.0,7.927477660124404,0.0003875705130858,0.0003875705130858,
gen_25,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_25.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_25.cif,True,La4 H1 N2 Cl5,Cl-H-La-N,12,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/relaxed/relaxed_cifs/gen_25_relaxed.cif,True,-72.2784423828125,True,True,True,TRI2024,True,True,True,4.913749064013875,"[[4.739433834597927, 0.11408007822439564, -0.14191786708860582], [0.11408007822439564, 4.72181158661061, -0.2756026941740915], [-0.14191786708860582, -0.2756026941740915, 5.280001770833094]]",286.33829973699426,True,12.0,7.086250935986125,0.0018792753267029,0.0018792753267029,
gen_30,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_30.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_30.cif,True,Dy5 Ho2 Sc1,Dy-Ho-Sc,8,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/relaxed/relaxed_cifs/gen_30_relaxed.cif,True,-38.37746047973633,True,True,True,TRI2024,True,True,True,13.557670801368907,"[[13.587851068259367, 7.612982158530848e-05, 0.001693703082704445], [7.612982158530848e-05, 13.591157731132625, -0.0005453861502965269], [0.001693703082704445, -0.0005453861502965269, 13.49400360471474]]",244.42548837943016,True,12.0,1.5576708013689071,0.7383832422862159,0.7383832422862159,
gen_34,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_34.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_34.cif,True,Li2 Mn1 Pd1 I8,I-Li-Mn-Pd,12,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/relaxed/relaxed_cifs/gen_34_relaxed.cif,True,-37.56852340698242,True,True,True,TRI2024,True,True,True,4.921078558720706,"[[5.5841059494736855, 0.09552769548393589, -0.22595076033688005], [0.09552769548393589, 3.664400320385113, 0.8069081483716696], [-0.22595076033688005, 0.8069081483716696, 5.51472940630332]]",422.9452353127336,True,12.0,7.078921441279294,0.0019038234048358,0.0019038234048358,
gen_38,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_38.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_38.cif,True,Li3 Cu2 Au2,Au-Cu-Li,7,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/relaxed/relaxed_cifs/gen_38_relaxed.cif,True,-22.663684844970703,True,True,True,TRI2024,True,True,True,15.33034473571685,"[[15.410561831671947, -0.00048113661489127175, 0.003359750303247829], [-0.00048113661489127175, 13.674514346309754, -0.12495529555344168], [0.003359750303247829, -0.12495529555344168, 16.90595802916884]]",101.08564023710296,True,12.0,3.3303447357168494,0.249973714826986,0.249973714826986,
gen_4,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_4.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/input_cifs/gen_4.cif,True,Dy1 Cd1 Hg1 Au1,Au-Cd-Dy-Hg,4,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/eval_loop0010_repeat02_20260730_gpu/eval_0000/postprocess/relaxed/relaxed_cifs/gen_4_relaxed.cif,True,-10.86306095123291,True,True,True,TRI2024,True,True,True,19.21901261463161,"[[18.766521013217744, -0.02887697613036758, 0.021998464584136814], [-0.02887697613036758, 19.81840134021214, 0.47318940436296625], [0.021998464584136814, 0.47318940436296625, 19.072115490464935]]",89.19420802311618,True,12.0,7.219012614631609,0.0014821405904211,0.0014821405904211,
