method,checkpoint,raw_group_dir,relaxed_group_dir,group,guidance_factor,target,sample_id,cif_path,readable,composition_valid,structure_valid,structure_comp_valid,min_distance,volume,volume_per_atom,num_atoms,metal_like_proxy,unique,novel,energy_above_hull_per_atom,stable,predicted_dft_dielectric_scalar,prediction_success,prediction_error
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,0,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00000.cif,True,True,True,True,2.9111908522151184,240.82131086118352,60.20532771529588,4,False,True,False,,,8.799780040573351,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,1,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00001.cif,True,True,True,True,2.5982992740050697,454.55213410886176,22.727606705443087,20,False,True,True,,,7.184427159399401,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,2,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00002.cif,True,False,True,False,2.870502469145759,176.8802117713579,22.110026471419737,8,False,True,True,,,15.22309755915371,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,3,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00003.cif,True,False,True,False,1.9369992065620176,93.13782203414968,11.64222775426871,8,False,True,True,,,6.412894774869699,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,4,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00004.cif,True,True,True,True,3.2106361161968677,51.12121536745351,25.560607683726754,2,True,True,True,,,13.789062797231926,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,5,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00005.cif,True,False,True,False,2.0053086781916694,812.9776713662773,50.81110446039233,16,False,True,True,,,2.0531537728372147,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,6,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00006.cif,True,False,True,False,1.5330530320771822,148.59689870977806,18.574612338722257,8,False,True,True,,,2.4604070807415215,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,7,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00007.cif,True,False,True,False,1.886467677981055,192.19785559134644,13.728418256524746,14,False,True,True,,,3.0202657000999564,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,8,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00008.cif,True,True,True,True,1.8167551635300845,156.7465762171955,13.06221468476629,12,False,True,True,,,4.086800790878507,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,9,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00009.cif,True,True,True,True,1.7680899595806285,114.82584213989223,14.353230267486529,8,False,True,True,,,6.030670551079512,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,10,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00010.cif,True,True,True,True,2.5833819069775625,243.22748122400245,20.26895676866687,12,True,True,True,,,18.662712629492038,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,11,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00011.cif,True,False,True,False,1.6852437550161858,228.1898665708734,12.677214809492966,18,False,True,True,,,3.907804874900051,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,12,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00012.cif,True,False,True,False,2.33969146383569,355.8730955904349,35.58730955904349,10,False,True,True,,,4.959111405946648,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,13,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00013.cif,True,True,True,True,1.982147629801417,205.34560091400812,17.112133409500675,12,False,True,True,,,4.76436786259621,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,14,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00014.cif,True,True,True,True,2.157286305664093,406.43076519434385,33.86923043286199,12,False,True,True,,,4.637880524202699,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,15,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00015.cif,True,True,True,True,2.7939196217492337,114.83679902897069,38.278933009656896,3,False,True,True,,,15.418023252311722,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,16,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00016.cif,True,False,True,False,1.7968943558313437,454.00661846322765,25.222589914623757,18,False,True,True,,,4.43602816425011,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,17,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00017.cif,True,True,True,True,1.749673929851554,105.53108814971364,13.191386018714205,8,False,True,True,,,3.578857951604711,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,18,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00018.cif,True,True,True,True,2.85334300671195,47.097309031528724,23.548654515764362,2,False,True,True,,,5.369701682592431,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,19,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00019.cif,True,True,True,True,3.088259645807852,521.1882023811461,52.11882023811461,10,False,True,True,,,7.358483608531016,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,20,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00020.cif,True,True,True,True,2.709182369430333,159.26366191604376,31.852732383208753,5,False,True,True,,,3.6928401119554137,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,21,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00021.cif,True,False,True,False,1.7938250549259918,278.9022342462859,13.945111712314295,20,False,True,True,,,3.675500771409009,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,22,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00022.cif,True,False,True,False,1.8550104061645754,413.4741882294571,29.533870587818367,14,False,True,True,,,2.5466339302914505,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,23,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00023.cif,True,True,True,True,1.6090734839399756,124.71304698762542,13.857005220847268,9,False,True,True,,,4.80548593527985,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,24,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00024.cif,True,True,True,True,2.6791965197987024,506.44437203433876,50.644437203433874,10,True,True,True,,,8.621053845284175,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,25,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00025.cif,True,False,True,False,0.7436829273166022,196.461234471028,12.27882715443925,16,False,True,True,,,1.926554580701982,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,26,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00026.cif,True,True,True,True,2.0312269215968146,811.307221349808,40.5653610674904,20,False,True,True,,,2.196483938796338,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,27,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00027.cif,True,True,True,True,2.883411843497031,201.05145542577688,25.13143192822211,8,True,True,True,,,19.558262920105864,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,28,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00028.cif,True,True,True,True,1.6671672384996203,274.27552801138893,17.142220500711808,16,False,True,True,,,3.9016589741818053,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,29,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00029.cif,True,True,True,True,1.849122581756826,142.64524408983615,8.91532775561476,16,False,True,True,,,5.388329206644222,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,30,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00030.cif,True,True,True,True,0.99516562572652,276.5185124121944,17.28240702576215,16,False,True,True,,,3.2970585694528283,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,31,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00031.cif,True,False,True,False,2.4353043064594617,88.8764249841467,17.77528499682934,5,False,True,True,,,15.116574065366967,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,32,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00032.cif,True,False,True,False,0.9844412572628811,292.56865450753503,16.2538141393075,18,False,True,True,,,3.29158541444976,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,33,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00033.cif,True,True,True,True,1.7830580445754043,200.55999845161625,16.713333204301353,12,False,True,True,,,4.236144826563982,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,34,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00034.cif,True,False,True,False,2.466998983935411,526.5556007542441,40.5042769810957,13,False,True,True,,,9.841070771089392,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,35,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00035.cif,True,True,True,True,2.405324318060521,176.65126366206084,25.235894808865833,7,False,True,True,,,10.798353397178344,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,36,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00036.cif,True,False,True,False,2.044022443466908,270.1830400536105,15.01016889186725,18,False,True,True,,,4.924682834212398,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,37,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00037.cif,True,True,True,True,1.7419721012612728,171.44584209943088,10.71536513121443,16,False,True,True,,,3.961934713280234,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,38,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00038.cif,True,True,True,True,1.5628703988769264,250.05792042845053,20.83816003570421,12,False,True,True,,,2.701126666566058,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,39,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00039.cif,True,True,True,True,2.130912260268229,407.1735049040221,25.44834405650138,16,False,True,True,,,7.687687884485345,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,40,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00040.cif,True,True,True,True,2.6961855085245725,39.61001242009207,19.805006210046034,2,False,True,True,,,9.932944919352165,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,41,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00041.cif,True,True,True,True,2.382154247252848,79.05686163995853,15.811372327991705,5,True,True,True,,,12.95584751369873,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,42,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00042.cif,True,True,True,True,1.7305196006412484,279.66611218257236,17.479132011410773,16,False,True,True,,,2.8482414932668227,True,
fixed_film,outputs/film_sole_path/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/fixed_film__uncond,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond,fixed_film__uncond,0,uncond,43,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00043.cif,True,True,True,True,1.996927321400858,131.52272579289112,13.152272579289113,10,False,True,True,,,4.949131425809354,True,
