group,method,guidance_factor,target,checkpoint,raw_group_dir,raw_source_type,raw_source_dir_original,relaxed_group_dir,relax_steps
residual_delta__uncond,residual_delta,0,uncond,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g0p0_t4_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g0p0_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__uncond,50
residual_delta__g1__t2,residual_delta,1,2,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g1p0_t2_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g1p0_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g1__t2,50
residual_delta__g1__t4,residual_delta,1,4,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g1p0_t4_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g1p0_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g1__t4,50
residual_delta__g1__t8,residual_delta,1,8,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g1p0_t8_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g1p0_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g1__t8,50
residual_delta__g1__t12,residual_delta,1,12,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g1p0_t12_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g1p0_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g1__t12,50
residual_delta__g2__t2,residual_delta,2,2,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g2p0_t2_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g2p0_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g2__t2,50
residual_delta__g2__t4,residual_delta,2,4,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g2p0_t4_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g2p0_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g2__t4,50
residual_delta__g2__t8,residual_delta,2,8,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g2p0_t8_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g2p0_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g2__t8,50
residual_delta__g2__t12,residual_delta,2,12,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g2p0_t12_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g2p0_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g2__t12,50
residual_delta__g3__t2,residual_delta,3,2,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g3p0_t2_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g3p0_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g3__t2,50
residual_delta__g3__t4,residual_delta,3,4,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g3p0_t4_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g3p0_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g3__t4,50
residual_delta__g3__t8,residual_delta,3,8,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g3p0_t8_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g3p0_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g3__t8,50
residual_delta__g3__t12,residual_delta,3,12,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g3p0_t12_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g3p0_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g3__t12,50
residual_delta__g4__t2,residual_delta,4,2,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g4p0_t2_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g4p0_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g4__t2,50
residual_delta__g4__t4,residual_delta,4,4,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g4p0_t4_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g4p0_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g4__t4,50
residual_delta__g4__t8,residual_delta,4,8,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g4p0_t8_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g4p0_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g4__t8,50
residual_delta__g4__t12,residual_delta,4,12,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/dielectric_step4000_grid_samples/step4000_g4p0_t12_n128,existing,outputs/dielectric_step4000_grid_samples/step4000_g4p0_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g4__t12,50
residual_delta__g5__t2,residual_delta,5,2,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/final report output/raw_groups/residual_delta__g5__t2,generated,,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g5__t2,50
residual_delta__g5__t4,residual_delta,5,4,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/final report output/raw_groups/residual_delta__g5__t4,generated,,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g5__t4,50
residual_delta__g5__t8,residual_delta,5,8,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/final report output/raw_groups/residual_delta__g5__t8,generated,,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g5__t8,50
residual_delta__g5__t12,residual_delta,5,12,outputs/dielectric_residual_delta_v3/checkpoints/step_0004000.pt,provenance://crystalite/outputs/final report output/raw_groups/residual_delta__g5__t12,generated,,provenance://crystalite/outputs/final report output/relaxed_groups/residual_delta__g5__t12,50
additive_plus_film__uncond,additive_plus_film,0,uncond,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/dielectric_cfg_film_g0_uncond_n128,existing,outputs/dielectric_cfg_film_g0_uncond_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__uncond,50
additive_plus_film__g1__t2,additive_plus_film,1,2,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/dielectric_cfg_film_g1_t2_n128,existing,outputs/dielectric_cfg_film_g1_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g1__t2,50
additive_plus_film__g1__t4,additive_plus_film,1,4,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/dielectric_cfg_film_g1_t4_n128,existing,outputs/dielectric_cfg_film_g1_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g1__t4,50
additive_plus_film__g1__t8,additive_plus_film,1,8,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/dielectric_cfg_film_g1_t8_n128,existing,outputs/dielectric_cfg_film_g1_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g1__t8,50
additive_plus_film__g1__t12,additive_plus_film,1,12,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/dielectric_cfg_film_g1_t12_n128,existing,outputs/dielectric_cfg_film_g1_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g1__t12,50
additive_plus_film__g2__t2,additive_plus_film,2,2,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/dielectric_cfg_film_g2_t2_n128,existing,outputs/dielectric_cfg_film_g2_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g2__t2,50
additive_plus_film__g2__t4,additive_plus_film,2,4,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/dielectric_cfg_film_g2_t4_n128,existing,outputs/dielectric_cfg_film_g2_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g2__t4,50
additive_plus_film__g2__t8,additive_plus_film,2,8,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/dielectric_cfg_film_g2_t8_n128,existing,outputs/dielectric_cfg_film_g2_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g2__t8,50
additive_plus_film__g2__t12,additive_plus_film,2,12,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/dielectric_cfg_film_g2_t12_n128,existing,outputs/dielectric_cfg_film_g2_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g2__t12,50
additive_plus_film__g3__t2,additive_plus_film,3,2,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/additive_plus_film__g3__t2,generated,,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g3__t2,50
additive_plus_film__g3__t4,additive_plus_film,3,4,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/additive_plus_film__g3__t4,generated,,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g3__t4,50
additive_plus_film__g3__t8,additive_plus_film,3,8,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,provenance://crystalite/outputs/final report output/raw_groups/additive_plus_film__g3__t8,generated,,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g3__t8,50
