guidance_factor,target,n_generated,n_thermo,thermodynamic_coverage_percent,mean_energy_above_hull_eV_per_atom
0,2,128,121,94.53125,0.2434981123151966
0,4,128,121,94.53125,0.2434981123151966
0,8,128,121,94.53125,0.2434981123151966
0,12,128,121,94.53125,0.2434981123151966
1,12,128,122,95.3125,0.3046340087922078
1,2,128,122,95.3125,0.1947264423896249
1,4,128,127,99.21875,0.3035862952537398
1,8,128,128,100.0,0.2901842577928951
2,12,128,80,62.5,0.3587951580037203
2,2,128,127,99.21875,0.1609402322208398
2,4,128,128,100.0,0.4056377607232776
2,8,128,127,99.21875,0.2987472143527128
3,12,128,6,4.6875,0.251069504464523
3,2,128,125,97.65625,0.2104973251168136
3,4,128,126,98.4375,0.375535340002547
3,8,128,126,98.4375,0.3486840335059621
4,12,128,0,0.0,
4,2,128,118,92.1875,0.7778637360200205
4,4,128,123,96.09375,0.4735345793634483
4,8,128,93,72.65625,0.3642912953009729
5,12,128,1,0.78125,1.6125222030682331
5,2,128,102,79.6875,1.6127763296105289
5,4,128,88,68.75,0.6526138798601139
5,8,128,54,42.1875,0.4181916500111549
