split,material_id,dft_dielectric_scalar
train,anisonet_train_000000,3.979
train,anisonet_train_000001,2.187333333
train,anisonet_train_000002,2.236333333
train,anisonet_train_000003,4.137666667
train,anisonet_train_000004,3.106
train,anisonet_train_000006,3.026333333
train,anisonet_train_000007,1.517
train,anisonet_train_000008,2.631666667
train,anisonet_train_000013,2.228
train,anisonet_train_000017,4.669035
train,anisonet_train_000018,1.401
train,anisonet_train_000020,1.529605
train,anisonet_train_000022,3.408
train,anisonet_train_000023,2.729
train,anisonet_train_000025,3.339666667
train,anisonet_train_000027,4.030104333
train,anisonet_train_000029,6.306333333
train,anisonet_train_000030,1.977333333
train,anisonet_train_000032,3.924002333
train,anisonet_train_000034,5.114333333
train,anisonet_train_000036,3.775333333
train,anisonet_train_000037,4.547
train,anisonet_train_000040,2.460133333
train,anisonet_train_000041,2.413778
train,anisonet_train_000044,1.759333333
train,anisonet_train_000045,3.025671667
train,anisonet_train_000046,1.799666667
train,anisonet_train_000048,2.182985667
train,anisonet_train_000049,1.995
train,anisonet_train_000050,2.102028333
train,anisonet_train_000051,2.281
train,anisonet_train_000052,2.362
train,anisonet_train_000053,2.798666667
train,anisonet_train_000054,2.171666667
train,anisonet_train_000055,2.705
train,anisonet_train_000057,4.106304
train,anisonet_train_000059,3.313
train,anisonet_train_000060,3.119321667
train,anisonet_train_000061,3.046666667
train,anisonet_train_000063,3.380666667
train,anisonet_train_000065,2.306
train,anisonet_train_000067,3.867787
train,anisonet_train_000068,4.646
train,anisonet_train_000070,9.763333333
train,anisonet_train_000071,3.125
train,anisonet_train_000075,2.113666667
train,anisonet_train_000077,1.883333333
train,anisonet_train_000081,2.535333333
train,anisonet_train_000082,3.585035
train,anisonet_train_000083,2.762699667
train,anisonet_train_000084,2.175295
train,anisonet_train_000086,5.098429667
train,anisonet_train_000089,2.385018
train,anisonet_train_000090,6.597796
train,anisonet_train_000091,5.829714
train,anisonet_train_000095,6.460765
train,anisonet_train_000097,4.420392667
train,anisonet_train_000098,9.358666667
train,anisonet_train_000102,10.76033333
train,anisonet_train_000103,6.962842
train,anisonet_train_000107,2.467489667
train,anisonet_train_000109,3.110131667
