guidance_factor,condition,count,mean_predicted_dielectric_scalar,median_predicted_dielectric_scalar,mae_to_target,rmse_to_target,frac_within_1,frac_within_2,mean_energy_above_hull_per_atom,median_energy_above_hull_per_atom,q25_energy_above_hull_per_atom,q75_energy_above_hull_per_atom,frac_stable,mean_rmsd_from_relaxation,median_rmsd_from_relaxation,frac_unique,frac_novel,frac_novel_unique_stable
0,2,128,5.302403560724194,4.533562057616093,3.3164796011923032,4.637883256410734,0.2890625,0.3984375,0.15167957465533513,0.12448262220444928,0.06083604846451196,0.2024517482949374,0.4296875,0.001038126507469061,0.0007444652449141024,1.0,0.7265625,0.21875
0,4,128,5.7415658643175185,4.392432660912556,2.5209800036135026,4.093198007332093,0.4140625,0.6328125,0.1532644831521099,0.12105497560902201,0.06804361137488568,0.19864075178193874,0.3984375,0.0011012723818046685,0.0009519797917247124,1.0,0.7265625,0.1875
0,8,128,5.582813716244765,4.687568569501023,3.7237302599859046,4.268503754124495,0.09375,0.2265625,0.1568666656640369,0.12844020234128894,0.0794157637876568,0.20711599059480157,0.359375,0.0010549055314913913,0.0008653604651384588,0.984375,0.7421875,0.15625
0,12,128,5.447815538553286,4.563480743704753,6.878909244468767,7.345217099409379,0.0078125,0.0703125,0.19863598942713911,0.1301888749053035,0.05943156173992459,0.20985411688423095,0.359375,0.0010277016879722226,0.0008183811930366856,1.0,0.75,0.1796875
1,2,128,3.4993856607041165,2.8935298926684716,1.5880907009621392,2.6665741941237133,0.5,0.7734375,0.16020004723497736,0.11603243671184771,0.04588813587059404,0.1890530702131923,0.4453125,0.001068178574413597,0.0007833142180068465,1.0,0.75,0.265625
1,4,128,4.9723356468988715,4.161642642893651,1.9488765883712986,3.185077268889059,0.390625,0.734375,0.20132315373447757,0.1316512741242455,0.0834968043442651,0.2139174619667823,0.34375,0.0009069785246304109,0.0006766410613206306,1.0,0.7578125,0.1875
1,8,128,8.924684939494501,8.363433757430272,3.6532329305569027,4.5284551209130015,0.140625,0.25,0.18579979601152194,0.157088031658565,0.07904732847483364,0.2225415834385338,0.3125,0.0012528113756610742,0.0011758330426142796,1.0,0.7578125,0.1484375
1,12,128,8.78485369984844,8.024088944660372,4.884185185892443,5.727072845496409,0.078125,0.1875,0.16077443704202415,0.12286368522402613,0.06428744385667418,0.18895696033914167,0.3984375,0.000981155244821208,0.0008076602034075781,0.9921875,0.734375,0.203125
2,2,128,2.5090973182767,2.2317854159090276,0.7382901991144115,1.157764065578586,0.75,0.9140625,0.13294171133300992,0.08199348514433691,0.040359173772813506,0.1697703931735397,0.5625,0.0009596959293182077,1.8287049035046615e-15,0.984375,0.78125,0.375
2,4,128,5.001191311680969,4.110688770834365,2.0504753110637743,2.9714660496065486,0.34375,0.71875,0.19791526850148683,0.12999809613542124,0.07365850639133975,0.20427265674976347,0.3671875,0.0012784782369327729,0.0009814461457936926,0.96875,0.734375,0.203125
2,8,128,10.6551696045629,10.008490818417247,3.934456470298602,5.3005788228504995,0.1875,0.3359375,0.15157883367646846,0.127609982343738,0.06892353125078599,0.19092073786055952,0.421875,0.0010649303691162052,0.0008016571894565528,0.9921875,0.71875,0.1875
2,12,128,11.816756927601748,11.018139367048795,4.094748338256573,5.386421118092377,0.1484375,0.3125,0.1309434649185448,0.12350658088448085,0.05965352693586201,0.17755052855958886,0.421875,0.0009603395233570592,0.0007185604454776869,1.0,0.75,0.2265625
5,2,128,1.928543904578799,1.9632346873156492,0.5798777870169813,0.7649994073723428,0.796875,0.984375,0.09671579571097735,0.060699356363447254,0.023568448978812273,0.1290990131284629,0.65625,0.0006642819614420309,1.2658926792917738e-15,0.921875,0.8125,0.46875
5,4,128,4.3070581520328695,3.726148861137169,1.5032526602392846,2.1358500816776442,0.4609375,0.8046875,0.21489613347678296,0.16162466167984801,0.08185346451423581,0.2833244621382489,0.2890625,0.001099664591607625,0.0008356198226167984,0.984375,0.7734375,0.1484375
5,8,128,14.283319444450767,13.599062415449815,6.496325120223082,7.711401565579262,0.0390625,0.1015625,0.14461578308097503,0.1257025961556708,0.07748143079052516,0.1862305238604114,0.4296875,0.0010833173227654666,0.0009739443569664026,0.984375,0.7421875,0.2421875
5,12,128,15.5291200019162,15.134028008626057,4.752751478783448,5.9841560200682355,0.1328125,0.2734375,0.13427795742211018,0.11817686074890554,0.06964807697974207,0.18051131349429594,0.40625,0.0012236430989626108,0.0010614967438010796,0.9609375,0.6875,0.140625
