comp,ele_comb,reward,rl_step
Rb3Na2In4Br9,"('Br', 'In', 'Na', 'Rb')",0.0002181894960813,0
Mg3(TlBr4)2,"('Br', 'Mg', 'Tl')",0.0002342015504837,0
K2Na7Sr5,"('K', 'Na', 'Sr')",0.0005144820897839,0
PbCl2,"('Cl', 'Pb')",0.0001917704794323,0
NaLi6Ag5,"('Ag', 'Li', 'Na')",0.3325478434562683,0
Cd4In3Sn7,"('Cd', 'In', 'Sn')",0.0119348401203751,0
Ca2TeBr2,"('Br', 'Ca', 'Te')",0.0003264797560404,0
MgCo2Ni2Sn11,"('Co', 'Mg', 'Ni', 'Sn')",0.113563135266304,0
Sn3Sb5,"('Sb', 'Sn')",2.9684940616725436e-10,0
Tb2Nd2YAl2,"('Al', 'Nd', 'Tb', 'Y')",0.8957633972167969,0
Tb8Tl,"('Tb', 'Tl')",0.817733108997345,0
Na6HgAu2,"('Au', 'Hg', 'Na')",0.1060812622308731,0
Rb3In7Ag2,"('Ag', 'In', 'Rb')",0.3377610743045807,0
Sr3Pr(CuAs)4,"('As', 'Cu', 'Pr', 'Sr')",0.1689393669366836,0
CsRb3V2F12,"('Cs', 'F', 'Rb', 'V')",2.924265027104412e-05,0
Sr2MgTl,"('Mg', 'Sr', 'Tl')",0.1509999334812164,0
CsKIn4,"('Cs', 'In', 'K')",0.3901297450065613,1
NaSr3Ga,"('Ga', 'Na', 'Sr')",0.0660236179828643,1
CeDy2Er3,"('Ce', 'Dy', 'Er')",0.970741331577301,1
Ca2PdPb2,"('Ca', 'Pb', 'Pd')",0.1156120151281356,1
RbLiCoBr4,"('Br', 'Co', 'Li', 'Rb')",6.119190948083997e-05,1
NdHo2Er5,"('Er', 'Ho', 'Nd')",0.9630635380744934,1
SmYHg4,"('Hg', 'Sm', 'Y')",0.3559286594390869,1
BaLi4Pt,"('Ba', 'Li', 'Pt')",0.2864919602870941,1
TbSmDy2ErMg2,"('Dy', 'Er', 'Mg', 'Sm', 'Tb')",0.8625047206878662,1
Co4Sn7,"('Co', 'Sn')",0.0479958839714527,2
