record,comp,ele_comb,reward
"{'structure_id': 'gen_1', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0005/postprocess/input_cifs/gen_1.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0005/postprocess/input_cifs/gen_1.cif', 'raw_valid': True, 'formula': 'Ce1 Y2 Tm3 P6', 'chemical_system': 'Ce-P-Tm-Y', 'num_sites': 12, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0005/postprocess/relaxed/relaxed_cifs/gen_1_relaxed.cif', 'relaxation_success': True, 'total_energy': -83.85751342773438, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.012661357860182, 'predicted_tensor': '[[12.22907894566111, -0.0003876675784167661, 0.006509584594548917], [-0.0003876675784167661, 12.228411067518106, 0.010829621792314809], [0.006509584594548917, 0.010829621792314809, 11.58049406040133]]', 'volume': 271.676302760098, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.012661357860181965, 'reward_raw': 0.9999799614529165, 'reward_final': 0.9999799728393555, 'gate_reason': '', 'reward_final_diversity': 0.9999799728393555, 'diversity_penalty': False, 'selection_rank': 1}",CeY2(TmP2)3,"('Ce', 'P', 'Tm', 'Y')",0.9999799728393556
"{'structure_id': 'gen_17', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0021/postprocess/input_cifs/gen_17.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0021/postprocess/input_cifs/gen_17.cif', 'raw_valid': True, 'formula': 'Tb6 Te2 As2 Se2', 'chemical_system': 'As-Se-Tb-Te', 'num_sites': 12, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0021/postprocess/relaxed/relaxed_cifs/gen_17_relaxed.cif', 'relaxation_success': True, 'total_energy': -69.18576049804688, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.016113017485578, 'predicted_tensor': '[[12.052856939825656, -0.0006367629824323418, 0.0003125206682435389], [-0.0006367629824323418, 11.999027418666083, -0.11352318875312557], [0.0003125206682435389, -0.11352318875312557, 11.996454693964996]]', 'volume': 318.4190638453024, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.01611301748557814, 'reward_raw': 0.9999675468600532, 'reward_final': 0.9999675750732422, 'gate_reason': '', 'reward_final_diversity': 0.9999675750732422, 'diversity_penalty': False, 'selection_rank': 1}",Tb3TeAsSe,"('As', 'Se', 'Tb', 'Te')",0.9999675750732422
"{'structure_id': 'gen_36', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0019/postprocess/input_cifs/gen_36.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0019/postprocess/input_cifs/gen_36.cif', 'raw_valid': True, 'formula': 'Tb5 Pr3 Tm1', 'chemical_system': 'Pr-Tb-Tm', 'num_sites': 9, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0019/postprocess/relaxed/relaxed_cifs/gen_36_relaxed.cif', 'relaxation_success': True, 'total_energy': -41.766326904296875, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.051220078548107, 'predicted_tensor': '[[12.097253289969379, -0.0005514516478141746, -0.00034240759387106016], [-0.0005514516478141746, 12.026303735434846, -0.02670956364606649], [-0.00034240759387106016, -0.02670956364606649, 12.03010321024009]]', 'volume': 299.1891821343943, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.051220078548107395, 'reward_raw': 0.9996721167096696, 'reward_final': 0.9996721148490906, 'gate_reason': '', 'reward_final_diversity': 0.9996721148490906, 'diversity_penalty': False, 'selection_rank': 1}",Tb5Pr3Tm,"('Pr', 'Tb', 'Tm')",0.9996721148490906
"{'structure_id': 'gen_43', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0022/postprocess/input_cifs/gen_43.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0022/postprocess/input_cifs/gen_43.cif', 'raw_valid': True, 'formula': 'La2 Tb4 Nd4 Dy2', 'chemical_system': 'Dy-La-Nd-Tb', 'num_sites': 12, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0022/postprocess/relaxed/relaxed_cifs/gen_43_relaxed.cif', 'relaxation_success': True, 'total_energy': -56.32792663574219, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.051852032338015, 'predicted_tensor': '[[12.080794996476627, 0.0006666367595347394, 0.00045567997121699806], [0.0006666367595347394, 12.043320297345279, 0.03338105644206228], [0.00045567997121699806, 0.03338105644206228, 12.031440803192144]]', 'volume': 405.8328158846931, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.051852032338015164, 'reward_raw': 0.999663977311076, 'reward_final': 0.9996639490127563, 'gate_reason': '', 'reward_final_diversity': 0.9996639490127563, 'diversity_penalty': False, 'selection_rank': 1}",LaTb2Nd2Dy,"('Dy', 'La', 'Nd', 'Tb')",0.9996639490127563
"{'structure_id': 'gen_26', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0015/postprocess/input_cifs/gen_26.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0015/postprocess/input_cifs/gen_26.cif', 'raw_valid': True, 'formula': 'Li2 Ho2 Cu2', 'chemical_system': 'Cu-Ho-Li', 'num_sites': 6, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0015/postprocess/relaxed/relaxed_cifs/gen_26_relaxed.cif', 'relaxation_success': True, 'total_energy': -22.039405822753906, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 11.946850843662125, 'predicted_tensor': '[[12.586870375447647, 0.0059048497383809555, 0.002361309655027174], [0.0059048497383809555, 11.51078548151554, 0.4497147602868634], [0.002361309655027174, 0.4497147602868634, 11.74289667402318]]', 'volume': 119.76191250313458, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.053149156337875425, 'reward_raw': 0.9996469582314881, 'reward_final': 0.9996469616889954, 'gate_reason': '', 'reward_final_diversity': 0.9996469616889954, 'diversity_penalty': False, 'selection_rank': 1}",LiHoCu,"('Cu', 'Ho', 'Li')",0.9996469616889954
"{'structure_id': 'gen_61', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0020/postprocess/input_cifs/gen_61.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0020/postprocess/input_cifs/gen_61.cif', 'raw_valid': True, 'formula': 'La2 Tb5 Mg1', 'chemical_system': 'La-Mg-Tb', 'num_sites': 8, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0020/postprocess/relaxed/relaxed_cifs/gen_61_relaxed.cif', 'relaxation_success': True, 'total_energy': -34.422035217285156, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.059366013889909, 'predicted_tensor': '[[12.08431127723355, -0.0007622644751637852, 1.2950110479454569e-05], [-0.0007622644751637852, 12.084284960979321, -3.290033779205606e-05], [1.2950110479454569e-05, -3.290033779205606e-05, 12.009501803456857]]', 'volume': 257.28061129156265, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.059366013889908587, 'reward_raw': 0.9995595565730491, 'reward_final': 0.9995595812797546, 'gate_reason': '', 'reward_final_diversity': 0.9995595812797546, 'diversity_penalty': False, 'selection_rank': 1}",La2Tb5Mg,"('La', 'Mg', 'Tb')",0.9995595812797546
"{'structure_id': 'gen_20', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0011/postprocess/input_cifs/gen_20.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0011/postprocess/input_cifs/gen_20.cif', 'raw_valid': True, 'formula': 'Tb6 Mg1 Sc1', 'chemical_system': 'Mg-Sc-Tb', 'num_sites': 8, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0011/postprocess/relaxed/relaxed_cifs/gen_20_relaxed.cif', 'relaxation_success': True, 'total_energy': -35.610843658447266, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.061146953681936, 'predicted_tensor': '[[12.055508295478477, 0.05074264861595956, -0.010685728401119816], [0.05074264861595956, 12.110262222006696, 0.0062418847938178175], [-0.010685728401119816, 0.0062418847938178175, 12.017670343560637]]', 'volume': 239.13230718044343, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.06114695368193601, 'reward_raw': 0.9995327404566855, 'reward_final': 0.9995327591896057, 'gate_reason': '', 'reward_final_diversity': 0.9995327591896057, 'diversity_penalty': False, 'selection_rank': 1}",Tb6MgSc,"('Mg', 'Sc', 'Tb')",0.9995327591896056
"{'structure_id': 'gen_2', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0008/postprocess/input_cifs/gen_2.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0008/postprocess/input_cifs/gen_2.cif', 'raw_valid': True, 'formula': 'Ca8 Ag1 Sb5', 'chemical_system': 'Ag-Ca-Sb', 'num_sites': 14, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0008/postprocess/relaxed/relaxed_cifs/gen_2_relaxed.cif', 'relaxation_success': True, 'total_energy': -52.53476333618164, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.078729504586262, 'predicted_tensor': '[[12.080607621785184, -0.0667417936358694, -0.11839707412684403], [-0.0667417936358694, 12.029527268736002, 0.0834887715111063], [-0.11839707412684403, 0.0834887715111063, 12.126053623237606]]', 'volume': 427.1057863462406, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.07872950458626171, 'reward_raw': 0.9992255082121614, 'reward_final': 0.9992254972457886, 'gate_reason': '', 'reward_final_diversity': 0.9992254972457886, 'diversity_penalty': False, 'selection_rank': 1}",Ca8AgSb5,"('Ag', 'Ca', 'Sb')",0.9992254972457886
"{'structure_id': 'gen_45', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0002/postprocess/input_cifs/gen_45.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0002/postprocess/input_cifs/gen_45.cif', 'raw_valid': True, 'formula': 'Na1 Sr1 Hg1 Au2', 'chemical_system': 'Au-Hg-Na-Sr', 'num_sites': 5, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0002/postprocess/relaxed/relaxed_cifs/gen_45_relaxed.cif', 'relaxation_success': True, 'total_energy': -12.46815299987793, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.107249927061387, 'predicted_tensor': '[[10.167322112607089, -2.0334657854499288e-05, 0.003756366938864168], [-2.0334657854499288e-05, 10.154241037638268, 0.0018535753486318076], [0.003756366938864168, 0.0018535753486318076, 16.000186630938806]]', 'volume': 131.2312067372903, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.10724992706138714, 'reward_raw': 0.9985632148087521, 'reward_final': 0.9985632300376892, 'gate_reason': '', 'reward_final_diversity': 0.9985632300376892, 'diversity_penalty': False, 'selection_rank': 1}",NaSrHgAu2,"('Au', 'Hg', 'Na', 'Sr')",0.9985632300376892
"{'structure_id': 'gen_15', 'cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0020/postprocess/input_cifs/gen_15.cif', 'input_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0020/postprocess/input_cifs/gen_15.cif', 'raw_valid': True, 'formula': 'Li6 Ag6 Sn1 Ge2', 'chemical_system': 'Ag-Ge-Li-Sn', 'num_sites': 15, 'raw_valid_reason': '', 'relaxed_cif_path': 'provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0020/postprocess/relaxed/relaxed_cifs/gen_15_relaxed.cif', 'relaxation_success': True, 'total_energy': -44.50577163696289, 'composition_valid': True, 'structure_valid': True, 'structure_comp_valid': True, 'reference_name': 'TRI2024', 'is_unique': True, 'is_novel': True, 'stable': True, 'predicted_dielectric_scalar': 12.11632831111806, 'predicted_tensor': '[[12.408960344302038, -0.08005317155281608, 0.7633077719138485], [-0.08005317155281608, 11.452878279955076, 0.34821684353980725], [0.7633077719138485, 0.34821684353980725, 12.48714630909706]]', 'volume': 266.7846236902621, 'prediction_success': True, 'target_dielectric_scalar': 12.0, 'abs_error': 0.11632831111806041, 'reward_raw': 0.9983098953422075, 'reward_final': 0.9983099102973938, 'gate_reason': '', 'reward_final_diversity': 0.9983099102973938, 'diversity_penalty': False, 'selection_rank': 2}",Li6Ag6SnGe2,"('Ag', 'Ge', 'Li', 'Sn')",0.9983099102973938
