thesis_output,condition,metric,reported_value,recomputed_value,match,notes
MatterGen guidance sweep,g0_target2,mean_prediction,5.302403560724194,5.302403560724194,True,
MatterGen guidance sweep,g0_target2,median_prediction,4.533562057616093,4.533562057616093,True,
MatterGen guidance sweep,g0_target2,MAE,3.3164796011923032,3.3164796011923032,True,
MatterGen guidance sweep,g0_target2,stable_fraction,0.4296875,0.4296875,True,
MatterGen guidance sweep,g0_target2,SUN_fraction,0.21875,0.21875,True,
MatterGen guidance sweep,g0_target4,mean_prediction,5.741565864317519,5.7415658643175185,True,
MatterGen guidance sweep,g0_target4,median_prediction,4.392432660912556,4.392432660912556,True,
MatterGen guidance sweep,g0_target4,MAE,2.5209800036135026,2.5209800036135026,True,
MatterGen guidance sweep,g0_target4,stable_fraction,0.3984375,0.3984375,True,
MatterGen guidance sweep,g0_target4,SUN_fraction,0.1875,0.1875,True,
MatterGen guidance sweep,g0_target8,mean_prediction,5.582813716244765,5.582813716244765,True,
MatterGen guidance sweep,g0_target8,median_prediction,4.687568569501023,4.687568569501023,True,
MatterGen guidance sweep,g0_target8,MAE,3.723730259985905,3.7237302599859046,True,
MatterGen guidance sweep,g0_target8,stable_fraction,0.359375,0.359375,True,
MatterGen guidance sweep,g0_target8,SUN_fraction,0.15625,0.15625,True,
MatterGen guidance sweep,g0_target12,mean_prediction,5.447815538553286,5.447815538553286,True,
MatterGen guidance sweep,g0_target12,median_prediction,4.563480743704753,4.563480743704753,True,
MatterGen guidance sweep,g0_target12,MAE,6.878909244468767,6.878909244468767,True,
MatterGen guidance sweep,g0_target12,stable_fraction,0.359375,0.359375,True,
MatterGen guidance sweep,g0_target12,SUN_fraction,0.1796875,0.1796875,True,
MatterGen guidance sweep,g1_target2,mean_prediction,3.4993856607041165,3.4993856607041165,True,
MatterGen guidance sweep,g1_target2,median_prediction,2.893529892668472,2.8935298926684716,True,
MatterGen guidance sweep,g1_target2,MAE,1.5880907009621392,1.5880907009621392,True,
MatterGen guidance sweep,g1_target2,stable_fraction,0.4453125,0.4453125,True,
MatterGen guidance sweep,g1_target2,SUN_fraction,0.265625,0.265625,True,
MatterGen guidance sweep,g1_target4,mean_prediction,4.972335646898872,4.9723356468988715,True,
MatterGen guidance sweep,g1_target4,median_prediction,4.161642642893651,4.161642642893651,True,
MatterGen guidance sweep,g1_target4,MAE,1.9488765883712984,1.9488765883712986,True,
MatterGen guidance sweep,g1_target4,stable_fraction,0.34375,0.34375,True,
MatterGen guidance sweep,g1_target4,SUN_fraction,0.1875,0.1875,True,
MatterGen guidance sweep,g1_target8,mean_prediction,8.924684939494501,8.924684939494501,True,
MatterGen guidance sweep,g1_target8,median_prediction,8.363433757430272,8.363433757430272,True,
MatterGen guidance sweep,g1_target8,MAE,3.653232930556903,3.6532329305569027,True,
MatterGen guidance sweep,g1_target8,stable_fraction,0.3125,0.3125,True,
MatterGen guidance sweep,g1_target8,SUN_fraction,0.1484375,0.1484375,True,
MatterGen guidance sweep,g1_target12,mean_prediction,8.78485369984844,8.78485369984844,True,
MatterGen guidance sweep,g1_target12,median_prediction,8.024088944660372,8.024088944660372,True,
MatterGen guidance sweep,g1_target12,MAE,4.884185185892443,4.884185185892443,True,
MatterGen guidance sweep,g1_target12,stable_fraction,0.3984375,0.3984375,True,
MatterGen guidance sweep,g1_target12,SUN_fraction,0.203125,0.203125,True,
MatterGen guidance sweep,g2_target2,mean_prediction,2.5090973182767,2.5090973182767,True,
MatterGen guidance sweep,g2_target2,median_prediction,2.231785415909028,2.2317854159090276,True,
MatterGen guidance sweep,g2_target2,MAE,0.7382901991144115,0.7382901991144115,True,
MatterGen guidance sweep,g2_target2,stable_fraction,0.5625,0.5625,True,
MatterGen guidance sweep,g2_target2,SUN_fraction,0.375,0.375,True,
MatterGen guidance sweep,g2_target4,mean_prediction,5.001191311680969,5.001191311680969,True,
MatterGen guidance sweep,g2_target4,median_prediction,4.110688770834365,4.110688770834365,True,
MatterGen guidance sweep,g2_target4,MAE,2.0504753110637743,2.0504753110637743,True,
MatterGen guidance sweep,g2_target4,stable_fraction,0.3671875,0.3671875,True,
MatterGen guidance sweep,g2_target4,SUN_fraction,0.203125,0.203125,True,
MatterGen guidance sweep,g2_target8,mean_prediction,10.6551696045629,10.6551696045629,True,
MatterGen guidance sweep,g2_target8,median_prediction,10.008490818417249,10.008490818417247,True,
MatterGen guidance sweep,g2_target8,MAE,3.934456470298602,3.934456470298602,True,
MatterGen guidance sweep,g2_target8,stable_fraction,0.421875,0.421875,True,
MatterGen guidance sweep,g2_target8,SUN_fraction,0.1875,0.1875,True,
MatterGen guidance sweep,g2_target12,mean_prediction,11.816756927601748,11.816756927601748,True,
MatterGen guidance sweep,g2_target12,median_prediction,11.018139367048796,11.018139367048795,True,
MatterGen guidance sweep,g2_target12,MAE,4.094748338256572,4.094748338256573,True,
MatterGen guidance sweep,g2_target12,stable_fraction,0.421875,0.421875,True,
MatterGen guidance sweep,g2_target12,SUN_fraction,0.2265625,0.2265625,True,
MatterGen guidance sweep,g5_target2,mean_prediction,1.9285439045787989,1.9285439045787989,True,
MatterGen guidance sweep,g5_target2,median_prediction,1.9632346873156488,1.9632346873156492,True,
MatterGen guidance sweep,g5_target2,MAE,0.5798777870169813,0.5798777870169813,True,
MatterGen guidance sweep,g5_target2,stable_fraction,0.65625,0.65625,True,
MatterGen guidance sweep,g5_target2,SUN_fraction,0.46875,0.46875,True,
MatterGen guidance sweep,g5_target4,mean_prediction,4.3070581520328695,4.3070581520328695,True,
MatterGen guidance sweep,g5_target4,median_prediction,3.726148861137169,3.726148861137169,True,
MatterGen guidance sweep,g5_target4,MAE,1.5032526602392846,1.5032526602392846,True,
MatterGen guidance sweep,g5_target4,stable_fraction,0.2890625,0.2890625,True,
MatterGen guidance sweep,g5_target4,SUN_fraction,0.1484375,0.1484375,True,
MatterGen guidance sweep,g5_target8,mean_prediction,14.283319444450768,14.283319444450768,True,
MatterGen guidance sweep,g5_target8,median_prediction,13.599062415449817,13.599062415449815,True,
MatterGen guidance sweep,g5_target8,MAE,6.496325120223082,6.496325120223082,True,
MatterGen guidance sweep,g5_target8,stable_fraction,0.4296875,0.4296875,True,
MatterGen guidance sweep,g5_target8,SUN_fraction,0.2421875,0.2421875,True,
MatterGen guidance sweep,g5_target12,mean_prediction,15.5291200019162,15.5291200019162,True,
MatterGen guidance sweep,g5_target12,median_prediction,15.134028008626055,15.134028008626057,True,
MatterGen guidance sweep,g5_target12,MAE,4.752751478783448,4.752751478783448,True,
MatterGen guidance sweep,g5_target12,stable_fraction,0.40625,0.40625,True,
MatterGen guidance sweep,g5_target12,SUN_fraction,0.140625,0.140625,True,
Crystalite FiLM guidance sweep,g0_target2,MAE,4.82,4.821409891727176,True,
Crystalite FiLM guidance sweep,g0_target4,MAE,3.5,3.5010189647031598,True,
Crystalite FiLM guidance sweep,g0_target8,MAE,4.24,4.2385660465096855,True,
Crystalite FiLM guidance sweep,g0_target12,MAE,6.54,6.543544247284054,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t2,mean_prediction,2.71128338387099,2.71128338387099,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t2,median_prediction,2.380190016998732,2.380190016998732,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t2,MAE,0.7602953975431614,0.7602953975431614,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t4,mean_prediction,4.446625572290506,4.446625572290506,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t4,median_prediction,3.683052901782157,3.6830529017821574,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t4,MAE,1.631964576388514,1.631964576388514,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t8,mean_prediction,7.552118493463537,7.552118493463538,True,
